Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population 25 Years and Over in Households,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households,All Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have No Computer,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households,All Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households,All Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer without an Internet Subsription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Population 25 Years and Over in Households that Have No Computer,Percent of Population 25 Years and Over in Households that Have No Computer,Percent of Population 25 Years and Over who are Not High School Graduates in Households that Have No Computer,Percent of Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Percent of Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Shape Area,Shape Length
48167,11370,11370,36005000100,1677210,1035011,Census Tract 1,New York,Bronx County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2733873.5703125,6859.25690486936
48168,10473,10473,36005000200,479463,852046,Census Tract 2,New York,Bronx County,3044,757,651,0,566,85,106,1579,1521,0,1422,99,58,708,708,0,664,44,0,164,5.4,14.0,3.7,0.0,831678.45703125,5722.479185788871
48169,10473,10473,36005000400,770689,690794,Census Tract 4,New York,Bronx County,3947,473,247,0,237,10,226,2305,2148,0,1993,155,157,1169,1165,0,1105,60,4,387,9.8,47.8,6.8,0.3,1558095.71484375,9823.2180303129
48170,10473,10473,36005001600,485079,0,Census Tract 16,New York,Bronx County,3441,868,633,0,443,190,235,1942,1756,0,1521,235,186,631,606,0,582,24,25,446,13.0,27.1,9.6,4.0,847812.59375,3898.1632323833
48171,10454,10454,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,1437,247,233,0,194,39,14,834,789,0,711,78,45,356,346,0,335,11,10,69,4.8,5.7,5.4,2.8,2859323.546875,12087.0136547957
48171,10455,10455,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,1437,247,233,0,194,39,14,834,789,0,711,78,45,356,346,0,335,11,10,69,4.8,5.7,5.4,2.8,2859323.546875,12087.0136547957
48172,10473,10473,36005002000,395564,0,Census Tract 20,New York,Bronx County,5881,2147,1760,0,1413,347,387,3121,2881,0,2512,369,240,613,580,0,465,115,33,660,11.2,18.0,7.7,5.4,691343.82421875,3357.14609856151
48173,10454,10454,36005002300,104645,0,Census Tract 23,New York,Bronx County,2742,1081,625,0,548,77,456,1508,1163,0,878,285,345,153,137,0,137,0,16,817,29.8,42.2,22.9,10.5,182844.9921875,1902.0481346114102
48174,10473,10473,36005002400,675911,263388,Census Tract 24,New York,Bronx County,131,0,0,0,0,0,0,42,42,0,42,0,0,89,89,0,89,0,0,0,0.0,,0.0,0.0,1177585.3671875,6978.29190576802
48175,10454,10454,36005002500,127492,0,Census Tract 25,New York,Bronx County,3654,1748,1291,0,1022,269,457,1638,1512,0,1185,327,126,268,222,23,123,76,46,629,17.2,26.1,7.7,17.2,222750.40234375,2023.30158224368
48176,10454,10454,36005002701,82641,0,Census Tract 27.01,New York,Bronx County,1500,560,395,0,311,84,165,759,696,18,534,144,63,181,162,0,162,0,19,247,16.5,29.5,8.3,10.5,144379.25,1678.0492237067301
48177,10454,10454,36005002702,155504,0,Census Tract 27.02,New York,Bronx County,2327,984,724,0,497,227,260,1217,1130,0,813,317,87,126,126,0,99,27,0,347,14.9,26.4,7.1,0.0,271689.64453125,2449.4611004308
48178,10473,10473,36005002800,414588,24677,Census Tract 28,New York,Bronx County,3949,654,466,0,353,113,188,2559,2172,14,1875,283,387,736,713,0,666,47,23,598,15.1,28.7,15.1,3.1,724673.65234375,3637.3372599283
48179,10454,10454,36005003100,154703,0,Census Tract 31,New York,Bronx County,1011,292,200,0,40,160,92,588,564,0,488,76,24,131,125,0,125,0,6,122,12.1,31.5,4.1,4.6,270317.39453125,2345.1645466916602
48179,10455,10455,36005003100,154703,0,Census Tract 31,New York,Bronx County,1011,292,200,0,40,160,92,588,564,0,488,76,24,131,125,0,125,0,6,122,12.1,31.5,4.1,4.6,270317.39453125,2345.1645466916602
48180,10454,10454,36005003300,152385,0,Census Tract 33,New York,Bronx County,1925,825,558,0,440,118,267,950,898,0,689,209,52,150,150,0,128,22,0,319,16.6,32.4,5.5,0.0,266253.01171875,2403.0945969589498
48181,10454,10454,36005003500,142005,0,Census Tract 35,New York,Bronx County,2222,989,796,0,563,233,193,930,831,0,771,60,99,303,211,0,211,0,92,384,17.3,19.5,10.6,30.4,248133.55078125,2330.37900682193
48181,10455,10455,36005003500,142005,0,Census Tract 35,New York,Bronx County,2222,989,796,0,563,233,193,930,831,0,771,60,99,303,211,0,211,0,92,384,17.3,19.5,10.6,30.4,248133.55078125,2330.37900682193
48182,10455,10455,36005003700,165973,0,Census Tract 37,New York,Bronx County,204,78,35,0,27,8,43,83,64,0,43,21,19,43,43,0,32,11,0,62,30.4,55.1,22.9,0.0,290021.6015625,2229.12910939818
