Object ID,ZCTA5,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Hispanic or Latino Householder",Total Households,Households with any self-employment income in past 12 months,Households with no self-employment income in past 12 months,Percent of households with any self-employment income,Shape Area,Shape Length
48167,11370,36005000100,1677210,1035011,Census Tract 1,New York,Bronx County,,,,,,,,,,,,,,0.0,0.0,0.0,,2733873.5703125,6859.25690486936
48168,10473,36005000200,479463,852046,Census Tract 2,New York,Bronx County,59914.0,,41899.0,78113.0,38990.0,34955.0,,,,59333.0,130583.0,106146.0,62838.0,1328.0,77.0,1251.0,5.8,831678.45703125,5722.479185788871
48169,10473,36005000400,770689,690794,Census Tract 4,New York,Bronx County,82073.0,,82336.0,106429.0,40650.0,90278.0,,,,101776.0,158000.0,69671.0,81554.0,1963.0,144.0,1819.0,7.3,1558095.71484375,9823.2180303129
48170,10473,36005001600,485079,0,Census Tract 16,New York,Bronx County,35802.0,,51818.0,41038.0,19531.0,40563.0,,,,33295.0,,,36085.0,1982.0,66.0,1916.0,3.3,847812.59375,3898.1632323833
48171,10454,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,42075.0,,51202.0,31625.0,,38981.0,,,,46932.0,42292.0,56750.0,46705.0,929.0,108.0,821.0,11.6,2859323.546875,12087.0136547957
48172,10473,36005002000,395564,0,Census Tract 20,New York,Bronx County,24447.0,,29111.0,27440.0,,34402.0,,,,27996.0,14907.0,,22074.0,3151.0,155.0,2996.0,4.9,691343.82421875,3357.14609856151
48173,10454,36005002300,104645,0,Census Tract 23,New York,Bronx County,18032.0,29338.0,20000.0,20441.0,12438.0,15639.0,23713.0,,,19909.0,,,18050.0,2000.0,88.0,1912.0,4.4,182844.9921875,1902.0481346114102
48174,10473,36005002400,675911,263388,Census Tract 24,New York,Bronx County,,,,,,,,,,,,,,43.0,0.0,43.0,0.0,1177585.3671875,6978.29190576802
48175,10454,36005002500,127492,0,Census Tract 25,New York,Bronx County,24530.0,,35000.0,24706.0,15208.0,16528.0,,,,23734.0,,64643.0,24391.0,1947.0,132.0,1815.0,6.8,222750.40234375,2023.30158224368
48176,10454,36005002701,82641,0,Census Tract 27.01,New York,Bronx County,20599.0,14625.0,25600.0,17722.0,12302.0,21131.0,,,,18292.0,,,20602.0,1061.0,40.0,1021.0,3.8,144379.25,1678.0492237067301
