Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Civilian Employed Population 16 Years and Over in Households - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have a Computer,Total Civilian Household Population 16 Years and Over,Total Civilian Household Population 16 Years and Over - Margin of Error,Population 16 Years and Over in the Civilian Labor Force in Households,Population 16 Years and Over in the Civilian Labor Force in Households - Margin of Error,Civilian Employed Population 16 Years and Over in Households,Civilian Employed Population 16 Years and Over in Households that Have a Computer - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have a Computer with Dial-up Internet Subscription Alone,Civilian Employed Population 16 Years and Over in Households that Have a Computer with Dial-up Internet Subscription Alone - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have No Computer,Civilian Employed Population 16 Years and Over in Households that Have No Computer - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households,Civilian Unemployed Population 16 Years and Over in Households - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with dial-up Internet Subscription Alone,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with dial-up Internet Subscription Alone - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Civilian Unemployed Population 16 Years and Over in Households that Have No Computer - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households,Population 16 Years and Over in Households who are Not in the Labor Force in Households - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with dial-up Internet Subscription Alone,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with dial-up Internet Subscription Alone - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with a Broadband Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with a Broadband Internet Subscription - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer without an Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer without an Internet Subscription - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have No Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have No Computer - Margin of Error,Population 16 Years and Over in Households that Have No Computer,Population 16 Years and Over in Households that Have No Computer - Margin of Error,Percent of Civilian Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Population 16 Years and Over in Households that Have No Computer - Margin of Error,Percent of Civilian Employed Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Employed Population 16 Years and Over in Households that Have No Computer - Margin of Error,Percent of Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Unemployed Population 16 Years and Over in Households that Have No Computer - Margin of Error,Percent of Population 16 Years and Over who are Not in the Labor Force in Households that Have No Computer,Percent of Population 16 Years and Over who are Not in the Labor Force in Households that Have No Computer - Margin of Error,Shape Area,Shape Length
1,01779775,01,AL,Alabama,131174048583,4593327154,7404,1929206,3765859,1758,2209616,6551,2064664,8964,7724,939,1736664,9515,184818,4203,135458,3692,144952,3435,125994,3196,421,155,104600,3005,20973,1238,18958,1044,1556243,6423,1215575,5258,10251,905,1041282,5384,164042,3588,340668,5234,495084,6490,13.1,0.172228526815894,6.6,0.177263929973428,13.1,0.650141206385131,21.9,0.323960518431235,190122625832.525,2312415.89178446
2,01785533,02,AK,Alaska,1478839695958,245481577452,1832,330915,532733,912,367032,1796,339507,2080,956,311,305820,2337,24139,1207,8592,687,27525,1172,25324,1130,104,59,21928,1069,3292,351,2201,328,165701,1802,150201,1740,1188,265,133063,1705,15950,956,15500,875,26293,1160,4.9,0.217581109561762,2.5,0.201890914703011,8,1.14196670424136,9.4,0.518168442745136,8208933682478.09,63996878.6025828
3,01779777,04,AZ,Arizona,294198551143,1027337603,8948,2887488,5330250,1702,3232462,8499,3026868,9631,5975,715,2673472,9682,208041,5454,139380,4057,205594,3308,186943,3400,452,146,164755,3208,21736,1197,18651,918,2097788,8523,1825083,7939,12292,895,1635288,8425,177503,3991,272705,4267,430736,5959,8.1,0.111766100040432,4.6,0.133339888979902,9.1,0.421979338510117,13,0.196428088528048,434058036475.438,2904949.8979294
4,00068085,05,AR,Arkansas,134768872727,2962859592,6378,1200187,2277500,1393,1358130,6258,1283549,7003,4734,617,1020892,8754,174561,4559,83362,3045,74581,2177,65953,2010,429,216,52664,1869,12860,892,8628,680,919370,6229,728832,5785,6529,757,594193,5097,128110,3692,190538,3460,282528,4659,12.4,0.204425651334044,6.5,0.235027527973109,11.6,0.846921250019557,20.7,0.349168175643643,205326115241.953,2656504.35896412
5,01779778,06,CA,California,403503931312,20463871877,21186,17593881,30223857,3940,19499915,22635,18203653,24368,43732,2097,16499718,29547,1050431,13034,609772,9414,1296262,10683,1221920,10587,4171,518,1106920,10235,110829,2775,74342,2234,10723942,23452,9571638,21834,54788,2286,8698108,20250,818742,9230,1152304,10886,1836418,14564,6.1,0.0481805889969689,3.3,0.0515677410394575,5.7,0.165733699930532,10.7,0.0987539638312969,650088043494.613,5274812.47760218
6,01779779,08,CO,Colorado,268422891711,1181621593,6490,2750675,4268782,1968,2958427,6190,2822874,7265,9613,1029,2582345,8835,158717,4179,72199,2711,135553,2453,129452,2426,462,158,117755,2387,11235,806,6101,574,1310355,6043,1167489,6102,10721,823,1062620,5467,94148,2417,142866,2805,221166,3943,5.2,0.0923373799703498,2.6,0.0958566880965468,4.5,0.41554379151775,10.9,0.208075169265761,447310993087.215,2708265.22753582
7,01779780,09,CT,Connecticut,12542497068,1815617571,4988,1733969,2805537,1324,1910008,4859,1786843,5789,4371,629,1648837,6872,80761,2793,52874,2123,123165,2394,114652,2423,443,175,104052,2331,10157,1003,8513,842,895529,4832,756264,4865,5021,558,694720,4795,56523,1891,139265,2822,200652,3630,7.2,0.129342964001657,3,0.118525410044913,6.9,0.670304711409349,15.6,0.303744126458471,23146187281.7422,782072.641636725
8,01779781,10,DE,Delaware,5045925646,1399985648,2637,428120,742160,722,475314,2733,447402,2934,944,259,397702,3024,29474,1601,19282,1293,27912,1228,26136,1206,51,34,23279,1106,2806,477,1776,312,266846,2694,230535,2673,1583,289,210712,2556,18240,1111,36311,1328,57369,1880,7.7,0.25320300286817,4.3,0.28788331826766,6.4,1.08217824113136,13.6,0.478328650389741,8697981313.87109,610862.733093048
9,01702382,11,DC,District of Columbia,158340391,18687198,2211,346833,531684,542,386410,2235,359263,2328,728,321,318837,2645,27268,1658,12430,971,27147,1196,24486,1153,61,69,19507,1134,4918,620,2661,436,145274,2192,117589,2152,558,145,96689,2145,20342,1256,27685,1303,42776,1682,8,0.316246992813798,3.5,0.269435479816319,9.8,1.54692242697679,19.1,0.849583697789711,292745374.59375,86300.673721702
10,00294478,12,FL,Florida,138949136250,31361101223,17960,8810663,16465366,3901,9828489,17288,9214481,21978,22971,1529,8045513,30176,742179,13158,403818,8147,614008,6294,568383,6375,1729,372,496044,5741,70610,2397,45625,2198,6636877,17578,5812037,16248,35576,1828,5163421,16436,613040,10976,824840,9644,1274283,12815,7.7,0.0778084329028971,4.4,0.0880015993845584,7.4,0.349778305133956,12.4,0.141532006596707,196197901321.74,4679537.4653303
