FID,NAMELSAD10,State,County,Region,Pop_T,PopDense,Prcnt_U18,Under18,Prcnt_65O,Over65,Prcnt_HHBM,HH_Below50,Prcnt_Lng,PoorEng,Minority,Non_white,Occ_HU,HU,Prcnt_Rent,Renters,Prcnt_NoCa,HH_NoCar,Employment,SV_Index2
0,Census Tract 17,New York,Richmond,NYC,1788,23.835787,0.245526,439.000488,0.086689,154.999932,0.467,256.383,0.233,340.646,0.327181,584.999628,0.924499,549,0.330709,181.559241,0.213255,117.076995,139,0.353482
1,Census Tract 6,New York,Richmond,NYC,2408,9.742428,0.150748,363.001184,0.280731,676.000248,0.543,621.192,0.283,615.525,0.635797,1530.999176,0.92515,1144,0.451788,516.845472,0.199185,227.86764,634,0.433675
2,Census Tract 7,New York,Richmond,NYC,4915,35.21798,0.244354,1200.99991,0.073856,363.00224,0.607,1290.482,0.084,360.696,0.20468,1006.0022,0.922444,2126,0.865947,1841.003322,0.271283,576.747658,272,0.409195
3,Census Tract 18,New York,Richmond,NYC,731,3.478381,0.358413,261.999903,0.009576,7.000056,0.265,63.07,0.023,17.802,0.633379,463.000049,0.677215,238,1,238,0.032982,7.849716,176,0.374946
4,Census Tract 3,New York,Richmond,NYC,1927,14.711823,0.158277,304.999779,0.091853,177.000731,0.459,391.068,0.138,208.656,0.428127,825.000729,0.780651,852,0.740715,631.08918,0.330764,281.810928,1518,0.390923
5,Census Tract 8,New York,Richmond,NYC,5583,28.272394,0.250403,1397.999949,0.088841,495.999303,0.377,778.505,0.182,988.442,0.51621,2882.00043,0.934296,2065,0.408767,844.103855,0.059123,122.088995,542,0.35208
6,Census Tract 9,New York,Richmond,NYC,2112,36.859799,0.265152,560.001024,0.071023,150.000576,0.404,310.272,0.116,235.248,0.229167,484.000704,0.868798,768,0.589302,452.583936,0.16534,126.98112,11,0.338598
7,Census Tract 20.01,New York,Richmond,NYC,2504,20.61777,0.182907,457.999128,0.125,313,0.303,308.454,0.224,549.696,0.692093,1733.000872,0.95907,1018,0.280112,285.154016,0.030012,30.552216,41,0.349524
8,Census Tract 20.02,New York,Richmond,NYC,3258,16.57301,0.188152,612.999216,0.158686,516.998988,0.291,345.126,0.21,639.24,0.715777,2332.001466,0.910943,1186,0.24226,287.32036,0.052027,61.704022,352,0.346106
9,Census Tract 132.04,New York,Richmond,NYC,4843,18.75125,0.207103,1002.999829,0.180054,872.001522,0.245,432.915,0.077,346.346,0.84617,4098.00131,0.956204,1767,0.267174,472.096458,0.027901,49.301067,309,0.350826
10,Census Tract 21,New York,Richmond,NYC,4236,13.44579,0.272427,1154.000772,0.082389,348.999804,0.525,726.075,0.261,917.676,0.223796,947.999856,0.887953,1383,0.544563,753.130629,0.166803,230.688549,1073,0.370491
11,Census Tract 27,New York,Richmond,NYC,2217,35.835975,0.227334,503.999478,0.17005,377.00085,0.643,287.421,0.172,348.472,0.273342,605.999214,0.920792,447,0.564925,252.521475,0.208209,93.069423,999,0.397457
12,Census Tract 29,New York,Richmond,NYC,5207,39.991898,0.341463,1777.997841,0.055694,289.998658,0.669,1150.011,0.158,755.24,0.072018,374.997726,0.828782,1719,0.67272,1156.40568,0.175425,301.555575,249,0.371638
13,Census Tract 11,New York,Richmond,NYC,3987,49.631691,0.282919,1127.998053,0.057938,230.998806,0.613,672.461,0.076,206.416,0.200652,799.999524,0.88819,1097,0.653489,716.877433,0.204881,224.754457,144,0.372134
14,Census Tract 33,New York,Richmond,NYC,3402,16.115822,0.217813,740.999826,0.103469,352.001538,0.314,450.59,0.098,334.964,0.445914,1516.999428,0.928966,1435,0.481891,691.513585,0.100359,144.015165,119,0.336301
15,Census Tract 36,New York,Richmond,NYC,2510,24.744367,0.237849,597.00099,0.109562,275.00062,0.343,270.97,0.238,574.056,0.498008,1250.00008,0.946759,790,0.226104,178.62216,0.081928,64.72312,78,0.335151
16,Census Tract 39,New York,Richmond,NYC,2197,15.248674,0.158398,348.000406,0.111516,245.000652,0.444,436.896,0.108,265.572,0.494766,1087.000902,0.954774,984,0.799581,786.787704,0.123496,121.520064,342,0.399316
17,Census Tract 40,New York,Richmond,NYC,12998,44.352639,0.290275,3772.99445,0.06801,883.99398,0.633,2813.052,0.178,2186.552,0.098938,1285.996124,0.967065,4444,0.534763,2376.486772,0.124137,551.664828,924,0.361774
18,Census Tract 47,New York,Richmond,NYC,3863,17.386969,0.128915,497.998645,0.122703,474.001689,0.329,354.662,0.158,609.722,0.707999,2735.000137,0.944719,1078,0.363239,391.571642,0.061999,66.834922,1181,0.352072
19,Census Tract 50,New York,Richmond,NYC,3847,18.526973,0.214973,827.001131,0.153886,591.999442,0.405,554.04,0.11,367.95,0.668573,2572.000331,0.966844,1368,0.247965,339.21612,0.074709,102.201912,661,0.355244
20,Census Tract 59,New York,Richmond,NYC,2635,7.656008,0.203036,534.99986,0.144972,382.00122,0.331,394.221,0.078,198.276,0.783681,2064.999435,0.949749,1191,0.304869,363.098979,0.087573,104.299443,134,0.36036
21,Census Tract 64,New York,Richmond,NYC,3550,20.248251,0.229577,814.99835,0.134648,478.0004,0.47,538.62,0.133,359.765,0.58507,2076.9985,0.955826,1146,0.347972,398.775912,0.13007,149.06022,1442,0.373271
22,Census Tract 70,New York,Richmond,NYC,8525,12.505608,0.213959,1824.000475,0.113783,970.000075,0.337,914.281,0.198,1664.19,0.732434,6243.99985,0.940217,2713,0.17882,485.13866,0.037659,102.168867,8412,0.343984
23,Census Tract 74,New York,Richmond,NYC,4693,31.370485,0.222672,1044.999696,0.117622,552.000046,0.392,588,0.345,1379.31,0.640528,3005.997904,0.953501,1500,0.403071,604.6065,0.099328,148.992,334,0.396715
24,Census Tract 75,New York,Richmond,NYC,3914,32.954729,0.232243,908.999102,0.149974,586.998236,0.451,541.651,0.123,539.601,0.416198,1628.998972,0.859447,1201,0.527542,633.577942,0.09124,109.57924,1424,0.356331
25,Census Tract 77,New York,Richmond,NYC,1535,24.993821,0.327036,502.00026,0.055375,85.000625,0.388,190.12,0.088,115.808,0.123127,188.999945,0.823944,490,0.524746,257.12554,0.146441,71.75609,39,0.309583
26,Census Tract 81,New York,Richmond,NYC,4301,22.166893,0.215996,928.998796,0.225761,970.998061,0.582,894.534,0.112,414.176,0.337363,1450.998263,0.906617,1537,0.429553,660.222961,0.213345,327.911265,574,0.37783
27,Census Tract 146.05,New York,Richmond,NYC,3836,17.58713,0.235662,903.999432,0.160323,614.999028,0.279,379.161,0.043,154.585,0.881908,3382.999088,0.947257,1359,0.085578,116.300502,0.030375,41.279625,212,0.332888
28,Census Tract 96.01,New York,Richmond,NYC,4024,20.980305,0.159791,642.998984,0.250746,1009.001904,0.526,742.712,0.187,667.59,0.787525,3169.0006,0.962193,1412,0.318221,449.328052,0.084609,119.467908,1961,0.409511
29,Census Tract 96.02,New York,Richmond,NYC,3461,22.674394,0.207166,717.001526,0.152557,527.999777,0.379,500.28,0.166,503.478,0.779255,2697.001555,0.938761,1320,0.349172,460.90704,0.106376,140.41632,415,0.384786
30,Census Tract 97,New York,Richmond,NYC,3925,14.575476,0.294268,1155.0019,0.08051,316.00175,0.323,402.135,0.059,175.348,0.383694,1505.99895,0.911296,1245,0.306743,381.895035,0.073758,91.82871,759,0.304033
31,Census Tract 105,New York,Richmond,NYC,5153,25.533587,0.27615,1423.00095,0.09936,512.00208,0.367,646.654,0.156,719.784,0.402678,2074.999734,0.931794,1762,0.421236,742.217832,0.091858,161.853796,1227,0.343259
32,Census Tract 112.01,New York,Richmond,NYC,5758,14.235487,0.214658,1236.000764,0.121049,697.000142,0.349,680.201,0.21,1189.02,0.788642,4541.000636,0.948284,1949,0.159852,311.551548,0.024567,47.881083,505,0.352006
33,Census Tract 112.02,New York,Richmond,NYC,6428,12.816873,0.221531,1424.001268,0.112166,721.003048,0.33,730.29,0.191,1109.519,0.736154,4731.997912,0.936959,2213,0.14912,330.00256,0.06096,134.90448,943,0.342236
34,Census Tract 114.01,New York,Richmond,NYC,3067,23.556022,0.212912,653.001104,0.140202,429.999534,0.544,738.752,0.14,425.74,0.564069,1729.999623,0.959942,1358,0.531358,721.584164,0.12953,175.90174,450,0.402752
35,Census Tract 114.02,New York,Richmond,NYC,3450,24.101441,0.194203,670.00035,0.153333,528.99885,0.442,562.666,0.15,451.65,0.762319,2630.00055,0.94172,1273,0.307668,391.661364,0.05112,65.07576,409,0.375295
36,Census Tract 121,New York,Richmond,NYC,3065,16.718349,0.222512,681.99928,0.153018,469.00017,0.326,382.724,0.029,91.35,0.868515,2661.998475,0.968591,1174,0.127278,149.424372,0.028858,33.879292,497,0.340472
37,Census Tract 122,New York,Richmond,NYC,3813,18.640021,0.219512,836.999256,0.140834,537.000042,0.358,503.706,0.024,80.16,0.855494,3261.998622,0.936849,1407,0.196111,275.928177,0.032046,45.088722,695,0.345356
