FIPS,RPL_THEMES,COUNTY
36005000100,-999.0,Bronx
36005000200,0.9544,Bronx
36005000400,0.6322,Bronx
36005001600,0.9761,Bronx
36005001900,0.9752,Bronx
36005002000,0.971,Bronx
36005002300,0.9954,Bronx
36005002400,0.106,Bronx
36005002500,0.9772,Bronx
36005002701,0.9814,Bronx
36005002702,0.9993,Bronx
36005002800,0.8002,Bronx
36005003100,0.8268,Bronx
36005003300,0.9853,Bronx
36005003500,0.9916,Bronx
36005003700,0.7221,Bronx
36005003800,0.8665,Bronx
36005003900,0.9838,Bronx
36005004001,0.848,Bronx
36005004100,0.9949,Bronx
36005004200,0.9496,Bronx
36005004300,0.9965,Bronx
36005004400,1.0,Bronx
36005004600,0.989,Bronx
36005004800,0.9608,Bronx
36005005001,0.9993,Bronx
36005005002,0.9965,Bronx
36005005100,0.9979,Bronx
36005005200,0.9201,Bronx
36005005300,0.9849,Bronx
36005005400,0.9702,Bronx
36005005600,0.9933,Bronx
36005005902,0.8897,Bronx
36005006000,0.9416,Bronx
36005006100,0.6507,Bronx
36005006200,0.9989,Bronx
36005006300,0.9708,Bronx
36005006400,0.9517,Bronx
36005006500,0.9945,Bronx
36005006700,0.9863,Bronx
36005006800,0.9353,Bronx
36005006900,0.9881,Bronx
36005007000,0.9467,Bronx
36005007100,0.9581,Bronx
36005007200,0.9129,Bronx
36005007300,0.9939,Bronx
36005007400,0.8427,Bronx
36005007500,0.9914,Bronx
36005007600,0.9434,Bronx
36005007700,0.9939,Bronx
36005007800,0.9731,Bronx
36005007900,0.9986,Bronx
36005008300,0.9856,Bronx
36005008400,0.6015,Bronx
36005008500,0.9943,Bronx
36005008600,0.9719,Bronx
36005008700,0.9882,Bronx
36005008900,0.9906,Bronx
36005009000,0.9801,Bronx
36005009200,0.9068,Bronx
36005009300,0.9854,Bronx
36005009600,0.9994,Bronx
36005009800,0.8537,Bronx
36005011000,-999.0,Bronx
36005011502,0.9956,Bronx
36005011700,0.985,Bronx
36005011800,0.4607,Bronx
36005011900,0.9891,Bronx
36005012101,0.9847,Bronx
36005012102,0.9471,Bronx
36005012300,0.9795,Bronx
36005012500,0.9783,Bronx
36005012701,0.9524,Bronx
36005012901,0.9967,Bronx
36005013000,0.3229,Bronx
36005013100,0.9917,Bronx
36005013200,0.4321,Bronx
36005013300,0.9923,Bronx
36005013500,0.975,Bronx
36005013800,0.7491,Bronx
36005014100,0.9866,Bronx
36005014300,0.9574,Bronx
36005014400,0.9908,Bronx
36005014500,0.9957,Bronx
36005014701,0.9996,Bronx
36005014702,0.9661,Bronx
36005014900,0.9973,Bronx
36005015100,0.9924,Bronx
36005015200,0.7186,Bronx
36005015300,0.9628,Bronx
36005015500,0.9837,Bronx
36005015700,0.9839,Bronx
36005015800,0.8527,Bronx
36005015900,0.9664,Bronx
36005016000,0.5998,Bronx
36005016100,0.9907,Bronx
36005016200,0.6862,Bronx
36005016300,-999.0,Bronx
36005016400,0.5942,Bronx
36005016500,0.9291,Bronx
36005016600,0.6852,Bronx
36005016700,0.9995,Bronx
36005016900,0.9956,Bronx
36005017100,-999.0,Bronx
36005017300,0.9903,Bronx
36005017500,0.9961,Bronx
36005017701,0.9984,Bronx
36005017702,0.9914,Bronx
36005017901,0.9849,Bronx
36005017902,0.9819,Bronx
36005018101,0.9822,Bronx
36005018102,0.9973,Bronx
36005018301,0.9142,Bronx
36005018302,0.9195,Bronx
36005018400,0.5738,Bronx
36005018500,0.9977,Bronx
36005018900,0.9892,Bronx
36005019300,0.9825,Bronx
36005019400,0.9067,Bronx
36005019500,0.9933,Bronx
36005019700,0.9455,Bronx
36005019900,0.9652,Bronx
36005020000,0.961,Bronx
36005020100,0.9932,Bronx
36005020200,0.9536,Bronx
36005020400,0.86,Bronx
36005020501,0.9923,Bronx
36005020502,0.9998,Bronx
36005020601,0.8212,Bronx
36005020900,0.8615,Bronx
36005021001,0.7984,Bronx
36005021002,0.7799,Bronx
36005021100,0.9938,Bronx
36005021200,0.7734,Bronx
36005021301,0.9461,Bronx
36005021302,0.9801,Bronx
36005021501,0.997,Bronx
36005021502,0.9968,Bronx
36005021601,0.9623,Bronx
36005021602,0.8554,Bronx
36005021700,0.9966,Bronx
36005021800,0.9777,Bronx
36005021900,0.9862,Bronx
36005022000,0.9992,Bronx
36005022101,0.9646,Bronx
36005022102,0.9831,Bronx
36005022200,0.9079,Bronx
36005022300,0.9665,Bronx
36005022401,0.8466,Bronx
36005022403,0.9051,Bronx
36005022404,0.7616,Bronx
36005022500,0.9927,Bronx
36005022701,0.9976,Bronx
36005022702,0.9284,Bronx
36005022703,0.925,Bronx
36005022800,0.8968,Bronx
36005022901,0.958,Bronx
36005022902,0.9981,Bronx
36005023000,0.9124,Bronx
36005023100,0.9944,Bronx
36005023200,0.9806,Bronx
36005023301,0.9755,Bronx
36005023302,0.9975,Bronx
36005023501,0.9641,Bronx
36005023502,0.9913,Bronx
36005023600,0.9942,Bronx
36005023702,0.9951,Bronx
36005023703,0.9963,Bronx
36005023704,0.9969,Bronx
36005023800,0.8445,Bronx
36005023900,0.9905,Bronx
36005024000,0.8784,Bronx
36005024100,0.987,Bronx
36005024300,0.9864,Bronx
36005024400,0.7408,Bronx
36005024501,0.9998,Bronx
36005024502,0.9964,Bronx
36005024600,0.7585,Bronx
36005024700,0.9157,Bronx
36005024800,0.7327,Bronx
36005024900,-999.0,Bronx
36005025000,0.7341,Bronx
36005025100,0.9852,Bronx
36005025200,0.6415,Bronx
36005025300,0.9933,Bronx
36005025400,0.7795,Bronx
36005025500,0.9879,Bronx
36005025600,0.9296,Bronx
36005025700,0.7722,Bronx
36005026100,0.6455,Bronx
36005026300,0.9991,Bronx
36005026400,0.7499,Bronx
36005026500,0.9918,Bronx
36005026601,0.7517,Bronx
36005026602,0.9321,Bronx
36005026701,0.8901,Bronx
36005026702,0.9688,Bronx
36005026900,0.9717,Bronx
36005027300,0.9975,Bronx
36005027401,0.4315,Bronx
36005027402,0.5562,Bronx
36005027600,-999.0,Bronx
36005027700,0.9826,Bronx
36005027900,0.9432,Bronx
36005028100,0.7916,Bronx
36005028300,0.9876,Bronx
36005028400,0.8607,Bronx
36005028500,0.6686,Bronx
36005028600,0.3769,Bronx
36005028700,0.7957,Bronx
36005028800,0.5798,Bronx
36005028900,0.9326,Bronx
36005029301,0.3865,Bronx
36005029302,0.5445,Bronx
36005029500,0.5736,Bronx
36005029600,0.6058,Bronx
