FIPS,RPL_THEMES,COUNTY,ZCTA5,modzcta
36005000100,-999.0,Bronx,11370,11370
36005000200,0.9544,Bronx,10473,10473
36005000400,0.6322,Bronx,10473,10473
36005001600,0.9761,Bronx,10473,10473
36005001900,0.9752,Bronx,10454,10454
36005001900,0.9752,Bronx,10455,10455
36005002000,0.971,Bronx,10473,10473
36005002300,0.9954,Bronx,10454,10454
36005002400,0.106,Bronx,10473,10473
36005002500,0.9772,Bronx,10454,10454
36005002701,0.9814,Bronx,10454,10454
36005002702,0.9993,Bronx,10454,10454
36005002800,0.8002,Bronx,10473,10473
36005003100,0.8268,Bronx,10454,10454
36005003100,0.8268,Bronx,10455,10455
36005003300,0.9853,Bronx,10454,10454
36005003500,0.9916,Bronx,10454,10454
36005003500,0.9916,Bronx,10455,10455
36005003700,0.7221,Bronx,10455,10455
36005003800,0.8665,Bronx,10473,10473
36005003900,0.9838,Bronx,10454,10454
36005004001,0.848,Bronx,10472,10472
36005004100,0.9949,Bronx,10454,10454
36005004200,0.9496,Bronx,10473,10473
36005004300,0.9965,Bronx,10454,10454
36005004300,0.9965,Bronx,10455,10455
36005004400,1.0,Bronx,10472,10472
36005004600,0.989,Bronx,10473,10473
36005004800,0.9608,Bronx,10472,10472
36005005001,0.9993,Bronx,10472,10472
36005005002,0.9965,Bronx,10472,10472
36005005100,0.9979,Bronx,10451,10451
36005005100,0.9979,Bronx,10454,10454
36005005200,0.9201,Bronx,10472,10472
36005005300,0.9849,Bronx,10453,10453
36005005400,0.9702,Bronx,10472,10472
36005005600,0.9933,Bronx,10472,10472
36005005902,0.8897,Bronx,10451,10451
36005006000,0.9416,Bronx,10460,10460
36005006100,0.6507,Bronx,10451,10451
36005006200,0.9989,Bronx,10472,10472
36005006300,0.9708,Bronx,10451,10451
36005006300,0.9708,Bronx,10452,10452
36005006400,0.9517,Bronx,10472,10472
36005006500,0.9945,Bronx,10451,10451
36005006500,0.9945,Bronx,10455,10455
36005006700,0.9863,Bronx,10451,10451
36005006700,0.9863,Bronx,10455,10455
36005006800,0.9353,Bronx,10472,10472
36005006900,0.9881,Bronx,10451,10451
36005006900,0.9881,Bronx,10455,10455
36005007000,0.9467,Bronx,10472,10472
36005007100,0.9581,Bronx,10451,10451
36005007100,0.9581,Bronx,10455,10455
36005007100,0.9581,Bronx,10456,10456
36005007200,0.9129,Bronx,10472,10472
36005007300,0.9939,Bronx,10455,10455
36005007400,0.8427,Bronx,10473,10473
36005007500,0.9914,Bronx,10455,10455
36005007500,0.9914,Bronx,10456,10456
36005007600,0.9434,Bronx,10472,10472
36005007700,0.9939,Bronx,10455,10455
36005007700,0.9939,Bronx,10456,10456
36005007700,0.9939,Bronx,10459,10459
36005007800,0.9731,Bronx,10472,10472
36005007900,0.9986,Bronx,10455,10455
36005008300,0.9856,Bronx,10455,10455
36005008400,0.6015,Bronx,10473,10473
36005008500,0.9943,Bronx,10455,10455
36005008500,0.9943,Bronx,10459,10459
36005008600,0.9719,Bronx,10473,10473
36005008700,0.9882,Bronx,10459,10459
36005008900,0.9906,Bronx,10459,10459
36005009000,0.9801,Bronx,10465,10465
36005009000,0.9801,Bronx,10473,10473
36005009200,0.9068,Bronx,10462,10462
36005009300,0.9854,Bronx,10455,10455
36005009300,0.9854,Bronx,10474,10474
36005009600,0.9994,Bronx,10461,10461
36005009600,0.9994,Bronx,10462,10462
36005009800,0.8537,Bronx,10473,10473
36005011000,-999.0,Bronx,10465,10465
36005011502,0.9956,Bronx,10474,10474
36005011700,0.985,Bronx,10474,10474
36005011800,0.4607,Bronx,10465,10465
36005011900,0.9891,Bronx,10459,10459
36005012101,0.9847,Bronx,10459,10459
36005012102,0.9471,Bronx,10459,10459
36005012300,0.9795,Bronx,10459,10459
36005012500,0.9783,Bronx,10459,10459
36005012701,0.9524,Bronx,10459,10459
36005012901,0.9967,Bronx,10459,10459
36005013000,0.3229,Bronx,10465,10465
36005013100,0.9917,Bronx,10456,10456
36005013100,0.9917,Bronx,10459,10459
36005013200,0.4321,Bronx,10465,10465
36005013300,0.9923,Bronx,10456,10456
36005013300,0.9923,Bronx,10459,10459
36005013500,0.975,Bronx,10456,10456
36005013500,0.975,Bronx,10459,10459
36005013800,0.7491,Bronx,10465,10465
36005014100,0.9866,Bronx,10451,10451
36005014100,0.9866,Bronx,10456,10456
36005014300,0.9574,Bronx,10451,10451
36005014300,0.9574,Bronx,10456,10456
36005014400,0.9908,Bronx,10465,10465
36005014500,0.9957,Bronx,10456,10456
36005014701,0.9996,Bronx,10456,10456
36005014702,0.9661,Bronx,10456,10456
36005014900,0.9973,Bronx,10456,10456
36005015100,0.9924,Bronx,10456,10456
36005015100,0.9924,Bronx,10459,10459
36005015200,0.7186,Bronx,10465,10465
36005015300,0.9628,Bronx,10459,10459
36005015300,0.9628,Bronx,10460,10460
36005015500,0.9837,Bronx,10460,10460
36005015700,0.9839,Bronx,10459,10459
36005015700,0.9839,Bronx,10460,10460
36005015800,0.8527,Bronx,10465,10465
36005015900,0.9664,Bronx,10459,10459
36005016000,0.5998,Bronx,10465,10465
36005016100,0.9907,Bronx,10460,10460
36005016200,0.6862,Bronx,10465,10465
36005016400,0.5942,Bronx,10465,10465
36005016500,0.9291,Bronx,10457,10457
36005016600,0.6852,Bronx,10465,10465
36005016700,0.9995,Bronx,10457,10457
36005016900,0.9956,Bronx,10456,10456
36005016900,0.9956,Bronx,10457,10457
36005017300,0.9903,Bronx,10451,10451
36005017300,0.9903,Bronx,10456,10456
36005017500,0.9961,Bronx,10456,10456
36005017701,0.9984,Bronx,10456,10456
36005017702,0.9914,Bronx,10456,10456
36005017901,0.9849,Bronx,10456,10456
36005017902,0.9819,Bronx,10456,10456
36005018101,0.9822,Bronx,10456,10456
36005018102,0.9973,Bronx,10456,10456
36005018301,0.9142,Bronx,10451,10451
36005018302,0.9195,Bronx,10451,10451
36005018302,0.9195,Bronx,10456,10456
36005018400,0.5738,Bronx,10461,10461
36005018500,0.9977,Bronx,10456,10456
36005018900,0.9892,Bronx,10452,10452
36005019300,0.9825,Bronx,10452,10452
