ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,RPL_THEMES
36,NEW YORK,NY,Albany,36001000100,"Census Tract 1, Albany County, New York",0.8524
36,NEW YORK,NY,Albany,36001000200,"Census Tract 2, Albany County, New York",0.7603
36,NEW YORK,NY,Albany,36001000300,"Census Tract 3, Albany County, New York",0.8359
36,NEW YORK,NY,Albany,36001000401,"Census Tract 4.01, Albany County, New York",0.4764
36,NEW YORK,NY,Albany,36001000403,"Census Tract 4.03, Albany County, New York",0.3459
36,NEW YORK,NY,Albany,36001000404,"Census Tract 4.04, Albany County, New York",0.2315
36,NEW YORK,NY,Albany,36001000501,"Census Tract 5.01, Albany County, New York",0.902
36,NEW YORK,NY,Albany,36001000502,"Census Tract 5.02, Albany County, New York",0.4059
36,NEW YORK,NY,Albany,36001000600,"Census Tract 6, Albany County, New York",0.9423
36,NEW YORK,NY,Albany,36001000700,"Census Tract 7, Albany County, New York",0.8895
36,NEW YORK,NY,Albany,36001000800,"Census Tract 8, Albany County, New York",0.9895
36,NEW YORK,NY,Albany,36001001100,"Census Tract 11, Albany County, New York",0.8241
36,NEW YORK,NY,Albany,36001001400,"Census Tract 14, Albany County, New York",0.271
36,NEW YORK,NY,Albany,36001001500,"Census Tract 15, Albany County, New York",0.5554
36,NEW YORK,NY,Albany,36001001600,"Census Tract 16, Albany County, New York",0.2925
36,NEW YORK,NY,Albany,36001001700,"Census Tract 17, Albany County, New York",0.4062
36,NEW YORK,NY,Albany,36001001801,"Census Tract 18.01, Albany County, New York",0.3466
36,NEW YORK,NY,Albany,36001001802,"Census Tract 18.02, Albany County, New York",0.4264
36,NEW YORK,NY,Albany,36001001901,"Census Tract 19.01, Albany County, New York",0.0523
36,NEW YORK,NY,Albany,36001001902,"Census Tract 19.02, Albany County, New York",0.2048
36,NEW YORK,NY,Albany,36001002000,"Census Tract 20, Albany County, New York",0.6409
36,NEW YORK,NY,Albany,36001002100,"Census Tract 21, Albany County, New York",0.6047
36,NEW YORK,NY,Albany,36001002200,"Census Tract 22, Albany County, New York",0.4906
36,NEW YORK,NY,Albany,36001002300,"Census Tract 23, Albany County, New York",0.704
36,NEW YORK,NY,Albany,36001002500,"Census Tract 25, Albany County, New York",0.9775
36,NEW YORK,NY,Albany,36001002600,"Census Tract 26, Albany County, New York",0.9388
36,NEW YORK,NY,Albany,36001012700,"Census Tract 127, Albany County, New York",0.401
36,NEW YORK,NY,Albany,36001012800,"Census Tract 128, Albany County, New York",0.8148
36,NEW YORK,NY,Albany,36001012900,"Census Tract 129, Albany County, New York",0.8732
36,NEW YORK,NY,Albany,36001013000,"Census Tract 130, Albany County, New York",0.2574
36,NEW YORK,NY,Albany,36001013100,"Census Tract 131, Albany County, New York",0.3852
