NAME,ADDRESS,DISTRICT,CLASS
"NYC Health + Hospitals/Gotham Health, Gunhill","1012 East Gunhill Road, Bronx, NY 10469",BRONX,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Tremont",1826 Arthur Avenue,BRONX,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Judson","34 Spring Street, New York, NY 10012",MANHATTAN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Roberto Clemente","540 East 13th Street, New York, NY 10009",MANHATTAN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, La Clinica Del Barrio","413 East 120th Street, New York, NY 10035",MANHATTAN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, St. Nicholas","281 West 127th Street, New York, NY 10027",MANHATTAN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Dyckman-Clinica de Las Americas","175 Nagle Avenue, New York, NY 10034",MANHATTAN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Jackson Heights","34-33 Junction Boulevard, Queens, NY 11372",QUEENS,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Women’s Health Center","59-17 Junction Boulevard, Queens, NY 11368",QUEENS,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Ridgewood","769 Onderdonk Avenue, Queens, NY 11385",QUEENS,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Parsons","90-37 Parsons Boulevard, Queens, NY 11432",QUEENS,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Springfield Gardens","134-64 Springfield Boulevard, Queens, NY 11413",QUEENS,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, South Queens","114-02 Guy R. Brewer Boulevard, Queens, NY 11434",QUEENS,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Woodside","50-53 Newtown Road, Queens, NY 11377",QUEENS,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Bedford","485 Throop Avenue, Brooklyn, New York 11221",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Bushwick","335 Central Avenue, Brooklyn, NY 11221",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Greenpoint","875 Manhattan Avenue, Brooklyn, NY 11222",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Williamsburg","279 Graham Avenue, Brooklyn, NY 11211",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Fort Greene","295 Flatbush Avenue Extension, Brooklyn, NY 11201",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Sumner","47 Marcus Garvey Boulevard, Brooklyn, NY 11206",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Jonathan Williams","333 Roebling Street, Brooklyn, NY 11211",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Brownsville","259 Bristol Street, Brooklyn, NY 11212",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Crown Heights","1218 Prospect Place, Brooklyn, NY 11213",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Ida G. Israel","2925 West 19th Street, Brooklyn, NY 11224",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Homecrest","1601 Avenue S, Brooklyn, NY 11229",BROOKLYN,community-healthcare-centers
"NYC Health + Hospitals/Gotham Health, Mariner’s Harbor","2040 Forest Avenue, Staten Island, NY 10303",STATEN ISLAND,community-healthcare-centers
