modzcta,community-healthcare-centers,diagnostic-treatment-centers,long-term-care-facilities,hospitals,avg
10001,2859.2129625593175,4244.158636285549,4244.158636285549,7323.62317082978,4667.788351490049
10002,1030.8940266489092,325.5217262431695,325.5217262431695,4099.114902264617,1445.2630953499663
10003,899.5851860045962,2079.090836006351,2079.090836006351,5328.927916129631,2596.673693536732
10004,2460.4965690968884,2371.3922584796624,2371.3922584796624,5960.186070185309,3290.8667890603806
10005,2045.259224706679,1942.2713241156712,1942.2713241156712,5638.462696002458,2892.06614223512
10006,1972.7418215277246,2165.814232513893,2165.814232513893,6050.346983100428,3088.6793174139843
10007,1310.4003121944509,1668.5589478126958,1668.5589478126958,5710.488147588263,2589.5015888520265
10009,274.98976200028915,1660.935343693102,1660.935343693102,4272.1368147888425,1967.249316043834
10010,1177.1410125456218,2919.9288776251324,2919.9288776251324,5552.974518325918,3142.4933215304513
10011,2265.1379764499334,3336.720835521459,3336.720835521459,6751.593114309546,3922.543190450599
10012,488.3692799246746,1631.0712400757404,1631.0712400757404,5508.913008833016,2314.856192227293
10013,780.2428926600247,1625.7372763766023,1625.7372763766023,5724.173985317495,2438.972857682681
10014,1647.687260735885,2796.564619305212,2796.564619305212,6609.35263971226,3462.5422847646423
10016,1818.1583872750143,3648.019286893604,3648.019286893604,5911.205476892886,3756.350609488777
10017,2686.822618543919,4551.582425605682,3266.126571991262,6439.010435028349,4235.885512792303
10018,3141.697054075828,4690.220495299881,4576.929793251097,7503.011860598812,4977.964800806405
10019,4088.0527380167805,5205.343381821202,3729.6255951896514,6756.839954954419,4944.965417495513
10021,3925.8516664447893,4016.154113676955,1393.929314290037,5310.483886399176,3661.6047452027397
10022,3429.1677757553434,5308.058710083465,2537.3963181580875,6680.999934121115,4488.905684529503
10023,4837.652854427434,4072.5089277826933,3460.673872116631,5654.613585520045,4506.362309961701
10024,3030.698830006808,2309.695858627543,3101.9443115795834,3915.688258502494,3089.5068146791073
10025,2025.8560450247614,1318.2418723424516,2212.9460256815482,2918.675219381724,2118.9297906076213
10026,1046.1620513372363,321.5046375334266,983.4859953431671,1774.7604682542067,1031.4782881170092
10027,300.56335525650854,735.0480008458932,1415.9797344772537,1218.6844336792535,917.5688810647273
10028,3017.73966279208,3193.1483931873577,1158.0593766056775,4416.779796278424,2946.431807215885
10029,1219.3215912189028,1697.557294844165,1272.5641178091798,2577.5669987292367,1691.752500650371
