MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_RATE,COVID_DEATH_RATE,deathtocase,lat,lng
10001,Chelsea/NoMad/West Chelsea,2201.85,101.4,0.04605218339123919,40.75068819675726,-73.99713787189704
10002,Chinatown/Lower East Side,2331.3,213.75,0.09168704156479217,40.71578031863019,-73.98617431136368
10003,East Village/Gramercy/Greenwich Village,1748.87,64.84,0.03707536866662474,40.73182645700668,-73.9891594531684
10004,Financial District,2355.22,33.65,0.01428741264085733,40.70374683920746,-74.01303190579041
10005,Financial District,1598.68,22.84,0.014286786598944128,40.706100057005145,-74.00887017653658
10006,Financial District,2158.61,0.0,0.0,40.709654233123786,-74.01304479932793
10007,TriBeCa,1988.14,57.21,0.028775639542486946,40.7139265595127,-74.00754386957273
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,2127.69,122.48,0.05756477682369142,40.72638088100121,-73.97870328927617
10010,Flatiron/Gramercy/Kips Bay,1631.04,62.96,0.03860113792426918,40.73911934950517,-73.98256349117815
10011,Chelsea,1933.82,92.47,0.04781727358285673,40.74169999252833,-74.00006405425448
10012,Greenwich Village/SoHo,1883.2,38.87,0.020640399320305862,40.72557992816873,-73.99807115889219
10013,Hudson Square/Little Italy/SoHo/TriBeCa,1693.34,79.81,0.047131704205888955,40.72009393144677,-74.00475055742915
10014,Hudson Square/Meatpacking District/West Village,2070.14,92.3,0.04458635647830582,40.734020174393706,-74.00631397053061
10016,Kips Bay/Murray Hill/NoMad,2406.11,98.21,0.0408169202571786,40.745175528612805,-73.978313565322
10017,East Midtown/Murray Hill,1767.73,51.24,0.02898632709746398,40.75254445433712,-73.97303441116115
10018,Hell's Kitchen/Midtown Manhattan,3138.11,50.89,0.016216767417330812,40.75520477221942,-73.99269165535732
10019,Hell's Kitchen/Midtown Manhattan,2180.49,98.8,0.045310916353663626,40.76527838486686,-73.98596640902457
10021,Lenox Hill/Upper East Side,1992.35,148.23,0.07439957838733154,40.76923183977713,-73.9587486337582
10022,East Midtown,1974.35,110.05,0.05573986375262745,40.75867044357387,-73.96809048499182
10023,Lincoln Square,1566.79,89.02,0.05681680378353193,40.77590139528621,-73.98266320679457
10024,Upper West Side,2021.84,128.4,0.06350650892256558,40.79208206274096,-73.97487235422777
10025,Manhattan Valley/Morningside Heights/Upper West Side,2275.71,201.92,0.08872835290964139,40.79860728570747,-73.96662161997472
10026,Central Harlem (South),2547.57,131.9,0.05177482856211998,40.802382116396615,-73.95267194513652
10027,Central Harlem (South)/Morningside Heights/West Harlem,2429.23,182.98,0.07532427971003157,40.81179809996424,-73.95320820045247
10028,Upper East Side/Yorkville,1663.49,73.89,0.04441866196971427,40.77643232524484,-73.95351419726677
10029,East Harlem,3227.88,276.13,0.08554531147378465,40.79177098339959,-73.943975832927
10030,Central Harlem (North),2558.95,201.57,0.07877058949959945,40.818320683610374,-73.9428491589021
10031,Hamilton Heights/West Harlem,3405.42,232.11,0.06815899360431313,40.82528173700233,-73.95003056049728
10032,Washington Heights (South),3630.39,277.55,0.07645184126223353,40.838817834251245,-73.94280229903046
