Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Civilian Employed Population 16 Years and Over in Households that Have a Computer,Total Civilian Household Population 16 Years and Over,Population 16 Years and Over in the Civilian Labor Force in Households,Civilian Employed Population 16 Years and Over in Households,Civilian Employed Population 16 Years and Over in Households that Have a Computer with Dial-up Internet Subscription Alone,Civilian Employed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have No Computer,Civilian Unemployed Population 16 Years and Over in Households,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with dial-up Internet Subscription Alone,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with dial-up Internet Subscription Alone,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with a Broadband Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer without an Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have No Computer,Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Employed Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Percent of Population 16 Years and Over who are Not in the Labor Force in Households that Have No Computer,Shape Area,Shape Length
48167,11370,11370,36005000100,1677210,1035011,Census Tract 1,New York,Bronx County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2733873.5703125,6859.25690486936
48168,10473,10473,36005000200,479463,852046,Census Tract 2,New York,Bronx County,1502,3678,1873,1578,0,1423,79,76,295,295,0,295,0,0,1805,1666,0,1517,149,139,215,5.8,4.8,0.0,7.7,831678.45703125,5722.479185788871
48169,10473,10473,36005000400,770689,690794,Census Tract 4,New York,Bronx County,2757,4675,3050,2808,0,2568,189,51,242,242,0,242,0,0,1625,1289,0,1230,59,336,387,8.3,1.8,0.0,20.7,1558095.71484375,9823.2180303129
48170,10473,10473,36005001600,485079,0,Census Tract 16,New York,Bronx County,2197,4348,2469,2309,0,1918,279,112,160,148,0,102,46,12,1879,1489,0,1229,260,390,514,11.8,4.9,7.5,20.8,847812.59375,3898.1632323833
48171,10454,10454,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,1113,1714,1228,1125,0,1044,69,12,103,103,0,103,0,0,486,429,0,370,59,57,69,4.0,1.1,0.0,11.7,2859323.546875,12087.0136547957
48171,10455,10455,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,1113,1714,1228,1125,0,1044,69,12,103,103,0,103,0,0,486,429,0,370,59,57,69,4.0,1.1,0.0,11.7,2859323.546875,12087.0136547957
48172,10473,10473,36005002000,395564,0,Census Tract 20,New York,Bronx County,2704,7282,3343,2737,0,2345,359,33,606,442,0,382,60,164,3939,3382,0,2902,480,557,754,10.4,1.2,27.1,14.1,691343.82421875,3357.14609856151
48173,10454,10454,36005002300,104645,0,Census Tract 23,New York,Bronx County,1181,3611,1635,1356,0,959,222,175,279,184,0,174,10,95,1976,1337,0,1106,231,639,909,25.2,12.9,34.1,32.3,182844.9921875,1902.0481346114102
48174,10473,10473,36005002400,675911,263388,Census Tract 24,New York,Bronx County,131,131,131,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,1177585.3671875,6978.29190576802
48175,10454,10454,36005002500,127492,0,Census Tract 25,New York,Bronx County,2092,4338,2575,2361,15,1706,371,269,214,184,0,163,21,30,1763,1287,8,973,306,476,775,17.9,11.4,14.0,27.0,222750.40234375,2023.30158224368
48176,10454,10454,36005002701,82641,0,Census Tract 27.01,New York,Bronx County,947,1943,1058,979,18,820,109,32,79,66,9,57,0,13,885,683,8,523,152,202,247,12.7,3.3,16.5,22.8,144379.25,1678.0492237067301
48177,10454,10454,36005002702,155504,0,Census Tract 27.02,New York,Bronx County,1366,3220,1516,1385,0,1047,319,19,131,121,0,86,35,10,1704,1363,0,920,443,341,370,11.5,1.4,7.6,20.0,271689.64453125,2449.4611004308
48178,10473,10473,36005002800,414588,24677,Census Tract 28,New York,Bronx County,2293,4334,2462,2363,14,2053,226,70,99,76,0,76,0,23,1872,1367,13,1068,286,505,598,13.8,3.0,23.2,27.0,724673.65234375,3637.3372599283
48179,10454,10454,36005003100,154703,0,Census Tract 31,New York,Bronx County,879,1340,955,909,0,609,270,30,46,17,0,10,7,29,385,322,0,259,63,63,122,9.1,3.3,63.0,16.4,270317.39453125,2345.1645466916602
48179,10455,10455,36005003100,154703,0,Census Tract 31,New York,Bronx County,879,1340,955,909,0,609,270,30,46,17,0,10,7,29,385,322,0,259,63,63,122,9.1,3.3,63.0,16.4,270317.39453125,2345.1645466916602
48180,10454,10454,36005003300,152385,0,Census Tract 33,New York,Bronx County,761,2546,1083,829,0,636,125,68,254,225,0,164,61,29,1463,1202,0,975,227,261,358,14.1,8.2,11.4,17.8,266253.01171875,2403.0945969589498
48181,10454,10454,36005003500,142005,0,Census Tract 35,New York,Bronx County,1413,2808,1728,1520,0,1223,190,107,208,208,0,152,56,0,1080,803,0,665,138,277,384,13.7,7.0,0.0,25.6,248133.55078125,2330.37900682193
48181,10455,10455,36005003500,142005,0,Census Tract 35,New York,Bronx County,1413,2808,1728,1520,0,1223,190,107,208,208,0,152,56,0,1080,803,0,665,138,277,384,13.7,7.0,0.0,25.6,248133.55078125,2330.37900682193
48182,10455,10455,36005003700,165973,0,Census Tract 37,New York,Bronx County,96,261,140,128,0,73,23,32,12,0,0,0,0,12,121,78,0,43,35,43,87,33.3,25.0,100.0,35.5,290021.6015625,2229.12910939818
48183,10473,10473,36005003800,63397,0,Census Tract 38,New York,Bronx County,511,1105,660,562,0,483,28,51,98,86,0,86,0,12,445,290,0,270,20,155,218,19.7,9.1,12.2,34.8,110809.6953125,1399.5468912657502
48184,10454,10454,36005003900,216210,0,Census Tract 39,New York,Bronx County,2824,4999,3322,3004,0,2313,511,180,318,278,0,160,118,40,1677,1083,0,785,298,594,814,16.3,6.0,12.6,35.4,377786.3125,2986.2312009491498
