Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,All Households that Have One or More Types of Computing Devices,All Households that Have a Desktop or Laptop,Households that have a Desktop or Laptop with No Other Type of Computing Device,All Households that Have a Smartphone,Households that Have a Smartphone with No Other Type of Computing Device,All Households that Have a Tablet or Other Portable Wireless Computer,Households that Have a Tablet or Other Portable Wireless Computer with No Other Type of Computing Device,All Households that Have an Other Computer,Households that Have an Other Computer with No Other Type of Computing Device,Households that Have No Computer,"Percent of Households that Have No Computer, Smartphone, or Tablet",All Households with an Internet Subscription,Households with Dial-up with No Other Type of Internet Subscription,Households with Broadband of Any Type,All Households with Cellular Data Plan,Households with Cellular Data Plan with No Other Type of Internet Subscription,"All Households with Broadband such as Cable, Fiber Optic or DSL","Households with Broadband such as Cable, Fiber Optic or DSL with No Other Type of Internet Subscription",All Households with Satellite Internet Service,Households with Satellite Internet Service with No Other Type of Internet Subscription,Households with Other Service with No Other Type of Internet Subscription,Households with Internet Access without a Subscription,Households with No Internet Access,Percent of Households with No Internet Access,Shape Area,Shape Length
48167,11370,11370,36005000100,1677210,1035011,Census Tract 1,New York,Bronx County,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,2733873.5703125,6859.25690486936
48168,10473,10473,36005000200,479463,852046,Census Tract 2,New York,Bronx County,1328,1191,1010,129,1039,135,741,0,112,0,137,10.3,1089,0,1089,579,80,975,480,86,21,0,54,185,13.9,831678.45703125,5722.479185788871
48169,10473,10473,36005000400,770689,690794,Census Tract 4,New York,Bronx County,1963,1768,1645,201,1497,60,1090,32,59,0,195,9.9,1623,0,1623,1026,87,1521,597,13,0,0,97,243,12.4,1558095.71484375,9823.2180303129
48170,10473,10473,36005001600,485079,0,Census Tract 16,New York,Bronx County,1982,1677,1303,212,1380,211,813,10,57,0,305,15.4,1481,0,1481,824,136,1292,612,111,14,21,81,420,21.2,847812.59375,3898.1632323833
48171,10454,10454,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,929,887,677,30,852,70,589,0,39,0,42,4.5,804,0,804,641,64,740,163,20,0,0,24,101,10.9,2859323.546875,12087.0136547957
48171,10455,10455,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,929,887,677,30,852,70,589,0,39,0,42,4.5,804,0,804,641,64,740,163,20,0,0,24,101,10.9,2859323.546875,12087.0136547957
48172,10473,10473,36005002000,395564,0,Census Tract 20,New York,Bronx County,3151,2684,2290,339,2302,323,1275,0,107,0,467,14.8,2302,0,2302,786,211,2091,1485,27,0,0,206,643,20.4,691343.82421875,3357.14609856151
48173,10454,10454,36005002300,104645,0,Census Tract 23,New York,Bronx County,2000,1320,899,104,1130,166,818,51,64,0,680,34.0,1079,0,1079,692,170,902,362,49,0,0,58,863,43.1,182844.9921875,1902.0481346114102
48174,10473,10473,36005002400,675911,263388,Census Tract 24,New York,Bronx County,43,43,38,0,43,5,38,0,0,0,0,0.0,43,0,43,5,5,38,38,0,0,0,0,0,0.0,1177585.3671875,6978.29190576802
48175,10454,10454,36005002500,127492,0,Census Tract 25,New York,Bronx County,1947,1501,932,103,1379,303,860,9,73,0,446,22.9,1102,6,1096,779,90,966,272,75,0,0,59,786,40.4,222750.40234375,2023.30158224368
48176,10454,10454,36005002701,82641,0,Census Tract 27.01,New York,Bronx County,1061,881,633,62,802,163,468,11,86,0,180,17.0,720,8,712,610,141,571,102,3,0,0,16,325,30.6,144379.25,1678.0492237067301
48177,10454,10454,36005002702,155504,0,Census Tract 27.02,New York,Bronx County,1484,1238,763,116,1078,235,668,25,56,0,246,16.6,880,0,880,712,156,713,139,11,11,0,27,577,38.9,271689.64453125,2449.4611004308
48178,10473,10473,36005002800,414588,24677,Census Tract 28,New York,Bronx County,2309,1847,1698,266,1509,59,1169,0,184,0,462,20.0,1594,14,1580,1037,129,1451,458,88,0,0,81,634,27.5,724673.65234375,3637.3372599283
48179,10454,10454,36005003100,154703,0,Census Tract 31,New York,Bronx County,597,540,370,32,508,45,337,0,8,0,57,9.5,379,0,379,303,29,350,76,0,0,0,41,177,29.6,270317.39453125,2345.1645466916602
48179,10455,10455,36005003100,154703,0,Census Tract 31,New York,Bronx County,597,540,370,32,508,45,337,0,8,0,57,9.5,379,0,379,303,29,350,76,0,0,0,41,177,29.6,270317.39453125,2345.1645466916602
48180,10454,10454,36005003300,152385,0,Census Tract 33,New York,Bronx County,1198,970,687,91,868,140,555,11,72,0,228,19.0,743,0,743,513,81,629,207,23,23,0,28,427,35.6,266253.01171875,2403.0945969589498
48181,10454,10454,36005003500,142005,0,Census Tract 35,New York,Bronx County,1293,1073,707,38,902,179,735,20,103,13,220,17.0,935,0,935,780,152,730,122,49,33,0,24,334,25.8,248133.55078125,2330.37900682193
48181,10455,10455,36005003500,142005,0,Census Tract 35,New York,Bronx County,1293,1073,707,38,902,179,735,20,103,13,220,17.0,935,0,935,780,152,730,122,49,33,0,24,334,25.8,248133.55078125,2330.37900682193
48182,10455,10455,36005003700,165973,0,Census Tract 37,New York,Bronx County,148,86,56,8,73,20,43,0,4,0,62,41.9,67,0,67,42,0,62,25,5,0,0,0,81,54.7,290021.6015625,2229.12910939818
48183,10473,10473,36005003800,63397,0,Census Tract 38,New York,Bronx County,411,309,285,44,245,6,199,0,23,0,102,24.8,305,0,305,181,49,256,124,20,0,0,6,100,24.3,110809.6953125,1399.5468912657502
48184,10454,10454,36005003900,216210,0,Census Tract 39,New York,Bronx County,2047,1450,1032,84,1292,163,889,33,139,0,597,29.2,1190,0,1190,823,108,1067,306,73,0,15,106,751,36.7,377786.3125,2986.2312009491498
48185,10472,10472,36005004001,123145,0,Census Tract 40.01,New York,Bronx County,484,417,391,49,334,0,253,0,74,7,67,13.8,393,0,393,259,25,355,121,21,0,13,29,62,12.8,215292.390625,1981.8996576035897
48186,10454,10454,36005004100,184733,0,Census Tract 41,New York,Bronx County,2056,1593,985,138,1406,375,883,49,89,0,463,22.5,1417,0,1417,1105,348,1028,296,93,0,0,19,620,30.2,322803.765625,2692.3462175612303
