Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,"Households whose income in the past 12 months was less than $10,000","Households whose income in the past 12 months was $10,000 to $14,999","Households whose income in the past 12 months was $15,000 to $19,999","Households whose income in the past 12 months was $20,000 to $24,999","Households whose income in the past 12 months was $25,000 to $29,999","Households whose income in the past 12 months was $30,000 to $34,999","Households whose income in the past 12 months was $35,000 to $39,999","Households whose income in the past 12 months was $40,000 to $44,999","Households whose income in the past 12 months was $45,000 to $49,999","Households whose income in the past 12 months was $50,000 to $59,999","Households whose income in the past 12 months was $60,000 to $74,999","Households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was $100,000 to $124,999","Households whose income in the past 12 months was $125,000 to $149,999","Households whose income in the past 12 months was $150,000 to $199,999","Households whose income in the past 12 months was $200,000 or more","Households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was at least $100,000","Percent of households whose income in the past 12 months was at least $100,000",Shape Area,Shape Length
45786,11370,11370,36005000100,1677210,1035011,Census Tract 1,New York,Bronx County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2733873.5703125,6859.25690486936
45787,10473,10473,36005000200,479463,852046,Census Tract 2,New York,Bronx County,1328.0,91.0,32.0,65.0,98.0,67.0,64.0,26.0,106.0,21.0,95.0,176.0,126.0,149.0,55.0,79.0,78.0,841.0,63.3,9.5,361.0,27.2,831678.45703125,5722.479185788871
45788,10473,10473,36005000400,770689,690794,Census Tract 4,New York,Bronx County,1963.0,142.0,38.0,106.0,43.0,10.0,58.0,46.0,98.0,22.0,82.0,271.0,337.0,162.0,178.0,247.0,123.0,916.0,46.7,17.2,710.0,36.2,1558095.71484375,9823.2180303129
45789,10473,10473,36005001600,485079,0,Census Tract 16,New York,Bronx County,1982.0,167.0,247.0,111.0,122.0,113.0,214.0,59.0,152.0,88.0,211.0,141.0,161.0,133.0,19.0,23.0,21.0,1625.0,82.0,8.1,196.0,9.9,847812.59375,3898.1632323833
45790,10454,10454,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,929.0,127.0,96.0,31.0,31.0,24.0,43.0,71.0,73.0,25.0,82.0,97.0,115.0,50.0,49.0,0.0,15.0,700.0,75.3,12.4,114.0,12.3,2859323.546875,12087.0136547957
45790,10455,10455,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,929.0,127.0,96.0,31.0,31.0,24.0,43.0,71.0,73.0,25.0,82.0,97.0,115.0,50.0,49.0,0.0,15.0,700.0,75.3,12.4,114.0,12.3,2859323.546875,12087.0136547957
45791,10473,10473,36005002000,395564,0,Census Tract 20,New York,Bronx County,3151.0,659.0,440.0,294.0,196.0,176.0,157.0,201.0,108.0,0.0,249.0,183.0,244.0,163.0,11.0,38.0,32.0,2663.0,84.5,7.7,244.0,7.7,691343.82421875,3357.14609856151
45792,10454,10454,36005002300,104645,0,Census Tract 23,New York,Bronx County,2000.0,473.0,347.0,302.0,172.0,81.0,135.0,106.0,85.0,90.0,83.0,39.0,60.0,0.0,6.0,21.0,0.0,1913.0,95.7,3.0,27.0,1.4,182844.9921875,1902.0481346114102
45793,10473,10473,36005002400,675911,263388,Census Tract 24,New York,Bronx County,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,11.6,0.0,38.0,88.4,1177585.3671875,6978.29190576802
45794,10454,10454,36005002500,127492,0,Census Tract 25,New York,Bronx County,1947.0,430.0,263.0,205.0,93.0,65.0,146.0,85.0,96.0,66.0,78.0,111.0,104.0,109.0,96.0,0.0,0.0,1638.0,84.1,5.3,205.0,10.5,222750.40234375,2023.30158224368
45795,10454,10454,36005002701,82641,0,Census Tract 27.01,New York,Bronx County,1061.0,286.0,113.0,120.0,114.0,72.0,34.0,51.0,101.0,12.0,26.0,78.0,48.0,0.0,6.0,0.0,0.0,1007.0,94.9,4.5,6.0,0.6,144379.25,1678.0492237067301
45796,10454,10454,36005002702,155504,0,Census Tract 27.02,New York,Bronx County,1484.0,452.0,335.0,117.0,45.0,47.0,67.0,89.0,41.0,15.0,18.0,37.0,134.0,51.0,10.0,26.0,0.0,1263.0,85.1,9.0,87.0,5.9,271689.64453125,2449.4611004308
45797,10473,10473,36005002800,414588,24677,Census Tract 28,New York,Bronx County,2309.0,98.0,85.0,63.0,82.0,134.0,81.0,160.0,184.0,91.0,302.0,476.0,200.0,227.0,56.0,70.0,0.0,1756.0,76.1,8.7,353.0,15.3,724673.65234375,3637.3372599283
45798,10454,10454,36005003100,154703,0,Census Tract 31,New York,Bronx County,597.0,49.0,27.0,70.0,48.0,6.0,28.0,35.0,38.0,53.0,56.0,41.0,69.0,50.0,19.0,8.0,0.0,451.0,75.5,11.6,77.0,12.9,270317.39453125,2345.1645466916602
45798,10455,10455,36005003100,154703,0,Census Tract 31,New York,Bronx County,597.0,49.0,27.0,70.0,48.0,6.0,28.0,35.0,38.0,53.0,56.0,41.0,69.0,50.0,19.0,8.0,0.0,451.0,75.5,11.6,77.0,12.9,270317.39453125,2345.1645466916602
45799,10454,10454,36005003300,152385,0,Census Tract 33,New York,Bronx County,1198.0,374.0,164.0,89.0,117.0,101.0,65.0,24.0,45.0,33.0,45.0,29.0,33.0,13.0,0.0,52.0,14.0,1086.0,90.7,2.8,79.0,6.6,266253.01171875,2403.0945969589498
45800,10454,10454,36005003500,142005,0,Census Tract 35,New York,Bronx County,1293.0,222.0,97.0,114.0,122.0,77.0,107.0,75.0,12.0,42.0,79.0,87.0,200.0,36.0,0.0,0.0,23.0,1034.0,80.0,15.5,59.0,4.6,248133.55078125,2330.37900682193
45800,10455,10455,36005003500,142005,0,Census Tract 35,New York,Bronx County,1293.0,222.0,97.0,114.0,122.0,77.0,107.0,75.0,12.0,42.0,79.0,87.0,200.0,36.0,0.0,0.0,23.0,1034.0,80.0,15.5,59.0,4.6,248133.55078125,2330.37900682193
45801,10455,10455,36005003700,165973,0,Census Tract 37,New York,Bronx County,148.0,48.0,12.0,21.0,5.0,9.0,0.0,0.0,4.0,8.0,21.0,16.0,4.0,0.0,0.0,0.0,0.0,144.0,97.3,2.7,0.0,0.0,290021.6015625,2229.12910939818
45802,10473,10473,36005003800,63397,0,Census Tract 38,New York,Bronx County,411.0,49.0,23.0,22.0,51.0,20.0,17.0,12.0,20.0,6.0,11.0,44.0,58.0,24.0,20.0,0.0,34.0,275.0,66.9,14.1,78.0,19.0,110809.6953125,1399.5468912657502
45803,10454,10454,36005003900,216210,0,Census Tract 39,New York,Bronx County,2047.0,374.0,318.0,108.0,187.0,161.0,29.0,87.0,138.0,108.0,29.0,39.0,192.0,78.0,41.0,101.0,57.0,1578.0,77.1,9.4,277.0,13.5,377786.3125,2986.2312009491498
45804,10472,10472,36005004001,123145,0,Census Tract 40.01,New York,Bronx County,484.0,23.0,11.0,38.0,26.0,63.0,19.0,11.0,5.0,21.0,41.0,37.0,73.0,67.0,9.0,36.0,4.0,295.0,61.0,15.1,116.0,24.0,215292.390625,1981.8996576035897
45805,10454,10454,36005004100,184733,0,Census Tract 41,New York,Bronx County,2056.0,575.0,301.0,196.0,169.0,154.0,153.0,167.0,139.0,34.0,28.0,0.0,59.0,12.0,26.0,0.0,43.0,1916.0,93.2,2.9,81.0,3.9,322803.765625,2692.3462175612303
45806,10473,10473,36005004200,483356,0,Census Tract 42,New York,Bronx County,2736.0,317.0,439.0,184.0,196.0,111.0,171.0,21.0,245.0,102.0,302.0,123.0,350.0,175.0,0.0,0.0,0.0,2211.0,80.8,12.8,175.0,6.4,844931.96484375,4136.94984719945
45807,10454,10454,36005004300,225393,0,Census Tract 43,New York,Bronx County,2111.0,448.0,288.0,209.0,146.0,129.0,108.0,65.0,148.0,26.0,171.0,100.0,103.0,59.0,63.0,42.0,6.0,1838.0,87.1,4.9,170.0,8.1,393879.29296875,2613.62047317777
45807,10455,10455,36005004300,225393,0,Census Tract 43,New York,Bronx County,2111.0,448.0,288.0,209.0,146.0,129.0,108.0,65.0,148.0,26.0,171.0,100.0,103.0,59.0,63.0,42.0,6.0,1838.0,87.1,4.9,170.0,8.1,393879.29296875,2613.62047317777
45808,10472,10472,36005004400,265578,0,Census Tract 44,New York,Bronx County,1641.0,369.0,243.0,159.0,193.0,128.0,71.0,87.0,91.0,37.0,29.0,83.0,49.0,58.0,10.0,34.0,0.0,1490.0,90.8,3.0,102.0,6.2,464282.89453125,3470.90034546296
45809,10473,10473,36005004600,135340,0,Census Tract 46,New York,Bronx County,706.0,77.0,131.0,61.0,52.0,18.0,23.0,45.0,45.0,25.0,42.0,87.0,42.0,15.0,28.0,7.0,8.0,606.0,85.8,5.9,58.0,8.2,236569.76953125,2111.29685395732
45810,10472,10472,36005004800,150832,0,Census Tract 48,New York,Bronx County,1407.0,194.0,81.0,137.0,103.0,131.0,83.0,76.0,139.0,26.0,87.0,68.0,125.0,67.0,54.0,28.0,8.0,1125.0,80.0,8.9,157.0,11.2,263686.09375,2196.83539786601
45811,10472,10472,36005005001,97889,0,Census Tract 50.01,New York,Bronx County,1565.0,306.0,167.0,147.0,175.0,158.0,100.0,61.0,24.0,46.0,69.0,38.0,134.0,9.0,41.0,44.0,46.0,1291.0,82.5,8.6,140.0,8.9,171121.546875,1694.28415675302
45812,10472,10472,36005005002,113902,0,Census Tract 50.02,New York,Bronx County,1871.0,386.0,236.0,211.0,89.0,69.0,200.0,143.0,59.0,28.0,54.0,181.0,126.0,64.0,13.0,12.0,0.0,1656.0,88.5,6.7,89.0,4.8,199128.2578125,1829.0518695212197
45813,10451,10451,36005005100,510448,0,Census Tract 51,New York,Bronx County,2083.0,449.0,386.0,368.0,112.0,134.0,66.0,70.0,81.0,103.0,154.0,98.0,16.0,22.0,0.0,18.0,6.0,2021.0,97.0,0.8,46.0,2.2,859020.8671875,5328.35354699498
45813,10454,10454,36005005100,510448,0,Census Tract 51,New York,Bronx County,2083.0,449.0,386.0,368.0,112.0,134.0,66.0,70.0,81.0,103.0,154.0,98.0,16.0,22.0,0.0,18.0,6.0,2021.0,97.0,0.8,46.0,2.2,859020.8671875,5328.35354699498
45814,10472,10472,36005005200,182689,0,Census Tract 52,New York,Bronx County,834.0,191.0,111.0,104.0,59.0,61.0,9.0,34.0,33.0,0.0,27.0,104.0,59.0,7.0,11.0,6.0,18.0,733.0,87.9,7.1,42.0,5.0,319367.328125,2323.6470263414103
45815,10453,10453,36005005300,68745,3852,Census Tract 53,New York,Bronx County,1591.0,485.0,280.0,122.0,90.0,64.0,141.0,70.0,64.0,40.0,64.0,129.0,7.0,6.0,11.0,9.0,9.0,1549.0,97.4,0.4,35.0,2.2,117559.46875,1676.8115877299801
45816,10472,10472,36005005400,196516,0,Census Tract 54,New York,Bronx County,1782.0,199.0,184.0,132.0,101.0,118.0,161.0,110.0,95.0,66.0,66.0,233.0,121.0,142.0,7.0,37.0,10.0,1465.0,82.2,6.8,196.0,11.0,343582.0546875,2566.93009285853
45817,10472,10472,36005005600,136188,0,Census Tract 56,New York,Bronx County,872.0,212.0,150.0,41.0,60.0,49.0,36.0,20.0,5.0,25.0,84.0,64.0,61.0,56.0,0.0,9.0,0.0,746.0,85.6,7.0,65.0,7.5,238126.6875,2001.16133017345
45818,10451,10451,36005005902,69637,0,Census Tract 59.02,New York,Bronx County,1017.0,188.0,61.0,73.0,60.0,136.0,49.0,2.0,109.0,0.0,44.0,41.0,84.0,74.0,44.0,17.0,35.0,763.0,75.0,8.3,170.0,16.7,121729.30078125,2083.80308895687
45819,10460,10460,36005006000,315748,0,Census Tract 60,New York,Bronx County,385.0,51.0,54.0,32.0,16.0,9.0,38.0,41.0,15.0,21.0,27.0,19.0,17.0,18.0,4.0,5.0,18.0,323.0,83.9,4.4,45.0,11.7,552174.80859375,3164.9106567489303
45820,10451,10451,36005006100,242362,0,Census Tract 61,New York,Bronx County,2143.0,140.0,157.0,84.0,152.0,26.0,99.0,83.0,259.0,155.0,300.0,117.0,276.0,120.0,87.0,88.0,0.0,1572.0,73.4,12.9,295.0,13.8,423640.12109375,3358.04672175313
45821,10472,10472,36005006200,192942,0,Census Tract 62,New York,Bronx County,2362.0,547.0,192.0,186.0,158.0,301.0,162.0,131.0,143.0,89.0,112.0,137.0,116.0,42.0,0.0,26.0,20.0,2158.0,91.4,4.9,88.0,3.7,337370.8359375,2910.20250703137
45822,10451,10451,36005006300,1046237,9963,Census Tract 63,New York,Bronx County,1891.0,228.0,195.0,135.0,127.0,131.0,108.0,124.0,63.0,202.0,52.0,125.0,186.0,85.0,22.0,32.0,76.0,1490.0,78.8,9.8,215.0,11.4,1793845.22265625,8388.45729342265
45822,10452,10452,36005006300,1046237,9963,Census Tract 63,New York,Bronx County,1891.0,228.0,195.0,135.0,127.0,131.0,108.0,124.0,63.0,202.0,52.0,125.0,186.0,85.0,22.0,32.0,76.0,1490.0,78.8,9.8,215.0,11.4,1793845.22265625,8388.45729342265
45823,10472,10472,36005006400,168249,0,Census Tract 64,New York,Bronx County,1337.0,342.0,65.0,83.0,51.0,56.0,78.0,157.0,27.0,0.0,156.0,75.0,129.0,35.0,26.0,34.0,23.0,1090.0,81.5,9.6,118.0,8.8,294191.28515625,2351.12302806701
45824,10451,10451,36005006500,261808,0,Census Tract 65,New York,Bronx County,1948.0,484.0,199.0,169.0,170.0,182.0,86.0,142.0,152.0,39.0,82.0,25.0,93.0,93.0,15.0,17.0,0.0,1730.0,88.8,4.8,125.0,6.4,457567.75390625,3951.1272632859495
