Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Non-Hispanic White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Some Other Race Population,Two or More Races Population,Hispanic or Latino Population,Percent of Population that is Non-Hispanic White,Percent of Population that is Black or African American,Percent of Population that is American Indian and Alaska Native,Percent of Population that is Asian,Percent of Population that is Native Hawaiian and Other Pacific Islander,Percent of Population that is Some Other Race,Percent of Population that is 2 or More Races,Percent of Population that is Hispanic or Latino,Shape Area,Shape Length
48167,11370,11370,36005000100,1677210,1035011,Census Tract 1,New York,Bronx County,7080,538,3984,25,125,0,38,41,2329,7.6,56.3,0.4,1.8,0.0,0.5,0.6,32.9,2733873.5703125,6859.25690486936
48168,10473,10473,36005000200,479463,852046,Census Tract 2,New York,Bronx County,4542,77,908,0,104,0,86,0,3367,1.7,20.0,0.0,2.3,0.0,1.9,0.0,74.1,831678.45703125,5722.479185788871
48169,10473,10473,36005000400,770689,690794,Census Tract 4,New York,Bronx County,5634,209,1380,0,130,0,0,42,3873,3.7,24.5,0.0,2.3,0.0,0.0,0.7,68.7,1558095.71484375,9823.2180303129
48170,10473,10473,36005001600,485079,0,Census Tract 16,New York,Bronx County,5917,220,1992,0,0,0,102,0,3603,3.7,33.7,0.0,0.0,0.0,1.7,0.0,60.9,847812.59375,3898.1632323833
48171,10454,10454,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,2765,262,934,0,82,0,19,55,1413,9.5,33.8,0.0,3.0,0.0,0.7,2.0,51.1,2859323.546875,12087.0136547957
48171,10455,10455,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,2765,262,934,0,82,0,19,55,1413,9.5,33.8,0.0,3.0,0.0,0.7,2.0,51.1,2859323.546875,12087.0136547957
48172,10473,10473,36005002000,395564,0,Census Tract 20,New York,Bronx County,9409,110,3319,46,29,0,0,0,5905,1.2,35.3,0.5,0.3,0.0,0.0,0.0,62.8,691343.82421875,3357.14609856151
48173,10454,10454,36005002300,104645,0,Census Tract 23,New York,Bronx County,4600,1,1868,25,0,0,22,10,2674,0.0,40.6,0.5,0.0,0.0,0.5,0.2,58.1,182844.9921875,1902.0481346114102
48174,10473,10473,36005002400,675911,263388,Census Tract 24,New York,Bronx County,172,69,89,0,0,0,0,14,0,40.1,51.7,0.0,0.0,0.0,0.0,8.1,0.0,1177585.3671875,6978.29190576802
48175,10454,10454,36005002500,127492,0,Census Tract 25,New York,Bronx County,5887,95,1162,0,7,0,53,8,4562,1.6,19.7,0.0,0.1,0.0,0.9,0.1,77.5,222750.40234375,2023.30158224368
48176,10454,10454,36005002701,82641,0,Census Tract 27.01,New York,Bronx County,2868,0,865,0,0,0,18,0,1985,0.0,30.2,0.0,0.0,0.0,0.6,0.0,69.2,144379.25,1678.0492237067301
48177,10454,10454,36005002702,155504,0,Census Tract 27.02,New York,Bronx County,4702,36,1903,20,0,0,0,18,2725,0.8,40.5,0.4,0.0,0.0,0.0,0.4,58.0,271689.64453125,2449.4611004308
48178,10473,10473,36005002800,414588,24677,Census Tract 28,New York,Bronx County,5269,54,2952,0,29,0,0,148,2086,1.0,56.0,0.0,0.6,0.0,0.0,2.8,39.6,724673.65234375,3637.3372599283
48179,10454,10454,36005003100,154703,0,Census Tract 31,New York,Bronx County,1703,23,417,0,35,0,0,0,1228,1.4,24.5,0.0,2.1,0.0,0.0,0.0,72.1,270317.39453125,2345.1645466916602
48179,10455,10455,36005003100,154703,0,Census Tract 31,New York,Bronx County,1703,23,417,0,35,0,0,0,1228,1.4,24.5,0.0,2.1,0.0,0.0,0.0,72.1,270317.39453125,2345.1645466916602
48180,10454,10454,36005003300,152385,0,Census Tract 33,New York,Bronx County,3534,75,1154,92,0,0,64,57,2092,2.1,32.7,2.6,0.0,0.0,1.8,1.6,59.2,266253.01171875,2403.0945969589498
48181,10454,10454,36005003500,142005,0,Census Tract 35,New York,Bronx County,3900,16,1266,0,0,0,0,0,2618,0.4,32.5,0.0,0.0,0.0,0.0,0.0,67.1,248133.55078125,2330.37900682193
48181,10455,10455,36005003500,142005,0,Census Tract 35,New York,Bronx County,3900,16,1266,0,0,0,0,0,2618,0.4,32.5,0.0,0.0,0.0,0.0,0.0,67.1,248133.55078125,2330.37900682193
48182,10455,10455,36005003700,165973,0,Census Tract 37,New York,Bronx County,269,46,52,0,0,0,0,0,171,17.1,19.3,0.0,0.0,0.0,0.0,0.0,63.6,290021.6015625,2229.12910939818
48183,10473,10473,36005003800,63397,0,Census Tract 38,New York,Bronx County,1434,0,468,0,7,0,0,0,959,0.0,32.6,0.0,0.5,0.0,0.0,0.0,66.9,110809.6953125,1399.5468912657502
48184,10454,10454,36005003900,216210,0,Census Tract 39,New York,Bronx County,6742,332,1301,0,0,0,0,0,5109,4.9,19.3,0.0,0.0,0.0,0.0,0.0,75.8,377786.3125,2986.2312009491498
48185,10472,10472,36005004001,123145,0,Census Tract 40.01,New York,Bronx County,1485,185,102,0,175,0,53,18,952,12.5,6.9,0.0,11.8,0.0,3.6,1.2,64.1,215292.390625,1981.8996576035897
48186,10454,10454,36005004100,184733,0,Census Tract 41,New York,Bronx County,5517,87,1129,0,41,0,0,15,4245,1.6,20.5,0.0,0.7,0.0,0.0,0.3,76.9,322803.765625,2692.3462175612303
48187,10473,10473,36005004200,483356,0,Census Tract 42,New York,Bronx County,7207,370,3110,0,88,0,0,22,3617,5.1,43.2,0.0,1.2,0.0,0.0,0.3,50.2,844931.96484375,4136.94984719945
48188,10454,10454,36005004300,225393,0,Census Tract 43,New York,Bronx County,6088,32,1465,0,42,0,0,35,4514,0.5,24.1,0.0,0.7,0.0,0.0,0.6,74.1,393879.29296875,2613.62047317777
48188,10455,10455,36005004300,225393,0,Census Tract 43,New York,Bronx County,6088,32,1465,0,42,0,0,35,4514,0.5,24.1,0.0,0.7,0.0,0.0,0.6,74.1,393879.29296875,2613.62047317777
48189,10472,10472,36005004400,265578,0,Census Tract 44,New York,Bronx County,4607,187,1642,0,102,0,9,24,2643,4.1,35.6,0.0,2.2,0.0,0.2,0.5,57.4,464282.89453125,3470.90034546296
48190,10473,10473,36005004600,135340,0,Census Tract 46,New York,Bronx County,1817,100,635,0,0,0,0,16,1066,5.5,34.9,0.0,0.0,0.0,0.0,0.9,58.7,236569.76953125,2111.29685395732
48191,10472,10472,36005004800,150832,0,Census Tract 48,New York,Bronx County,4680,57,992,57,0,0,0,78,3496,1.2,21.2,1.2,0.0,0.0,0.0,1.7,74.7,263686.09375,2196.83539786601
48192,10472,10472,36005005001,97889,0,Census Tract 50.01,New York,Bronx County,4979,43,1207,66,49,0,44,29,3541,0.9,24.2,1.3,1.0,0.0,0.9,0.6,71.1,171121.546875,1694.28415675302
48193,10472,10472,36005005002,113902,0,Census Tract 50.02,New York,Bronx County,5519,72,1022,8,74,0,12,29,4302,1.3,18.5,0.1,1.3,0.0,0.2,0.5,77.9,199128.2578125,1829.0518695212197
48194,10451,10451,36005005100,510448,0,Census Tract 51,New York,Bronx County,5588,0,1631,0,30,0,0,0,3927,0.0,29.2,0.0,0.5,0.0,0.0,0.0,70.3,859020.8671875,5328.35354699498
48194,10454,10454,36005005100,510448,0,Census Tract 51,New York,Bronx County,5588,0,1631,0,30,0,0,0,3927,0.0,29.2,0.0,0.5,0.0,0.0,0.0,70.3,859020.8671875,5328.35354699498
48195,10472,10472,36005005200,182689,0,Census Tract 52,New York,Bronx County,2091,0,449,0,9,0,0,14,1619,0.0,21.5,0.0,0.4,0.0,0.0,0.7,77.4,319367.328125,2323.6470263414103
48196,10453,10453,36005005300,68745,3852,Census Tract 53,New York,Bronx County,4483,54,2331,0,7,0,0,73,2018,1.2,52.0,0.0,0.2,0.0,0.0,1.6,45.0,117559.46875,1676.8115877299801
48197,10472,10472,36005005400,196516,0,Census Tract 54,New York,Bronx County,6003,88,1197,0,81,0,134,27,4476,1.5,19.9,0.0,1.3,0.0,2.2,0.4,74.6,343582.0546875,2566.93009285853
48198,10472,10472,36005005600,136188,0,Census Tract 56,New York,Bronx County,2384,25,611,32,12,0,85,0,1619,1.0,25.6,1.3,0.5,0.0,3.6,0.0,67.9,238126.6875,2001.16133017345
48199,10451,10451,36005005902,69637,0,Census Tract 59.02,New York,Bronx County,2532,140,595,0,39,0,81,60,1617,5.5,23.5,0.0,1.5,0.0,3.2,2.4,63.9,121729.30078125,2083.80308895687
48200,10460,10460,36005006000,315748,0,Census Tract 60,New York,Bronx County,1451,9,257,0,33,0,45,0,1107,0.6,17.7,0.0,2.3,0.0,3.1,0.0,76.3,552174.80859375,3164.9106567489303
48201,10451,10451,36005006100,242362,0,Census Tract 61,New York,Bronx County,3697,116,2599,0,17,0,0,76,889,3.1,70.3,0.0,0.5,0.0,0.0,2.1,24.0,423640.12109375,3358.04672175313
48202,10472,10472,36005006200,192942,0,Census Tract 62,New York,Bronx County,7184,106,2310,47,192,0,0,1,4528,1.5,32.2,0.7,2.7,0.0,0.0,0.0,63.0,337370.8359375,2910.20250703137
48203,10451,10451,36005006300,1046237,9963,Census Tract 63,New York,Bronx County,4497,364,1084,0,63,0,29,43,2914,8.1,24.1,0.0,1.4,0.0,0.6,1.0,64.8,1793845.22265625,8388.45729342265
48203,10452,10452,36005006300,1046237,9963,Census Tract 63,New York,Bronx County,4497,364,1084,0,63,0,29,43,2914,8.1,24.1,0.0,1.4,0.0,0.6,1.0,64.8,1793845.22265625,8388.45729342265
48204,10472,10472,36005006400,168249,0,Census Tract 64,New York,Bronx County,3612,162,1284,0,101,0,26,135,1904,4.5,35.5,0.0,2.8,0.0,0.7,3.7,52.7,294191.28515625,2351.12302806701
48205,10451,10451,36005006500,261808,0,Census Tract 65,New York,Bronx County,5312,231,1681,0,103,0,16,0,3281,4.3,31.6,0.0,1.9,0.0,0.3,0.0,61.8,457567.75390625,3951.1272632859495
48205,10455,10455,36005006500,261808,0,Census Tract 65,New York,Bronx County,5312,231,1681,0,103,0,16,0,3281,4.3,31.6,0.0,1.9,0.0,0.3,0.0,61.8,457567.75390625,3951.1272632859495
48206,10451,10451,36005006700,212430,0,Census Tract 67,New York,Bronx County,7256,14,2109,0,0,96,33,0,5004,0.2,29.1,0.0,0.0,1.3,0.5,0.0,69.0,371291.078125,2629.39409586561
48206,10455,10455,36005006700,212430,0,Census Tract 67,New York,Bronx County,7256,14,2109,0,0,96,33,0,5004,0.2,29.1,0.0,0.0,1.3,0.5,0.0,69.0,371291.078125,2629.39409586561
48207,10472,10472,36005006800,154374,0,Census Tract 68,New York,Bronx County,3294,72,844,24,349,0,11,3,1991,2.2,25.6,0.7,10.6,0.0,0.3,0.1,60.4,269893.3671875,2244.35394162728
48208,10451,10451,36005006900,187977,0,Census Tract 69,New York,Bronx County,8090,245,3018,6,37,0,0,161,4623,3.0,37.3,0.1,0.5,0.0,0.0,2.0,57.1,328576.015625,2631.9937899696
48208,10455,10455,36005006900,187977,0,Census Tract 69,New York,Bronx County,8090,245,3018,6,37,0,0,161,4623,3.0,37.3,0.1,0.5,0.0,0.0,2.0,57.1,328576.015625,2631.9937899696
48209,10472,10472,36005007000,204891,0,Census Tract 70,New York,Bronx County,4584,113,1103,0,571,0,63,184,2550,2.5,24.1,0.0,12.5,0.0,1.4,4.0,55.6,358224.9375,2511.64731016121
48210,10451,10451,36005007100,264262,0,Census Tract 71,New York,Bronx County,2722,54,878,0,58,0,27,6,1699,2.0,32.3,0.0,2.1,0.0,1.0,0.2,62.4,461864.9921875,3476.0949424859496
48210,10455,10455,36005007100,264262,0,Census Tract 71,New York,Bronx County,2722,54,878,0,58,0,27,6,1699,2.0,32.3,0.0,2.1,0.0,1.0,0.2,62.4,461864.9921875,3476.0949424859496
48210,10456,10456,36005007100,264262,0,Census Tract 71,New York,Bronx County,2722,54,878,0,58,0,27,6,1699,2.0,32.3,0.0,2.1,0.0,1.0,0.2,62.4,461864.9921875,3476.0949424859496
48211,10472,10472,36005007200,213050,0,Census Tract 72,New York,Bronx County,5891,402,621,0,1893,0,0,352,2623,6.8,10.5,0.0,32.1,0.0,0.0,6.0,44.5,372503.203125,2997.19097519659
48212,10455,10455,36005007300,140161,0,Census Tract 73,New York,Bronx County,4314,75,1085,0,0,102,54,11,2987,1.7,25.2,0.0,0.0,2.4,1.3,0.3,69.2,244939.6484375,2046.2332310006698
48213,10473,10473,36005007400,187162,0,Census Tract 74,New York,Bronx County,3314,69,940,0,0,0,22,65,2218,2.1,28.4,0.0,0.0,0.0,0.7,2.0,66.9,327126.5625,2584.65926290808
48214,10455,10455,36005007500,227618,0,Census Tract 75,New York,Bronx County,6112,44,2045,79,40,0,0,12,3892,0.7,33.5,1.3,0.7,0.0,0.0,0.2,63.7,397828.0,2948.8213031434
48214,10456,10456,36005007500,227618,0,Census Tract 75,New York,Bronx County,6112,44,2045,79,40,0,0,12,3892,0.7,33.5,1.3,0.7,0.0,0.0,0.2,63.7,397828.0,2948.8213031434
48215,10472,10472,36005007600,217217,0,Census Tract 76,New York,Bronx County,5458,157,1206,0,335,0,36,43,3681,2.9,22.1,0.0,6.1,0.0,0.7,0.8,67.4,379812.50390625,2682.26680639098
48216,10455,10455,36005007700,112827,0,Census Tract 77,New York,Bronx County,2022,56,448,0,14,0,0,0,1504,2.8,22.2,0.0,0.7,0.0,0.0,0.0,74.4,197201.9140625,1813.3161524491
48216,10456,10456,36005007700,112827,0,Census Tract 77,New York,Bronx County,2022,56,448,0,14,0,0,0,1504,2.8,22.2,0.0,0.7,0.0,0.0,0.0,74.4,197201.9140625,1813.3161524491
48216,10459,10459,36005007700,112827,0,Census Tract 77,New York,Bronx County,2022,56,448,0,14,0,0,0,1504,2.8,22.2,0.0,0.7,0.0,0.0,0.0,74.4,197201.9140625,1813.3161524491
48217,10472,10472,36005007800,311879,0,Census Tract 78,New York,Bronx County,7025,126,1753,0,540,0,89,39,4478,1.8,25.0,0.0,7.7,0.0,1.3,0.6,63.7,545271.1328125,3558.5982149183797
48218,10455,10455,36005007900,197930,0,Census Tract 79,New York,Bronx County,7054,10,1788,0,0,54,0,82,5120,0.1,25.3,0.0,0.0,0.8,0.0,1.2,72.6,345908.73046875,3026.8942589926896
48219,10455,10455,36005008300,213932,0,Census Tract 83,New York,Bronx County,6519,131,1095,0,348,0,18,43,4884,2.0,16.8,0.0,5.3,0.0,0.3,0.7,74.9,373852.25390625,2758.66681398839
48220,10473,10473,36005008400,156789,0,Census Tract 84,New York,Bronx County,2780,67,788,90,232,0,0,26,1577,2.4,28.3,3.2,8.3,0.0,0.0,0.9,56.7,274010.0078125,2644.06542709036
48221,10455,10455,36005008500,181658,0,Census Tract 85,New York,Bronx County,5972,56,1577,0,8,0,34,29,4268,0.9,26.4,0.0,0.1,0.0,0.6,0.5,71.5,317476.48828125,2600.68543501319
48221,10459,10459,36005008500,181658,0,Census Tract 85,New York,Bronx County,5972,56,1577,0,8,0,34,29,4268,0.9,26.4,0.0,0.1,0.0,0.6,0.5,71.5,317476.48828125,2600.68543501319
48222,10473,10473,36005008600,187658,0,Census Tract 86,New York,Bronx County,3982,29,1422,0,19,0,0,48,2464,0.7,35.7,0.0,0.5,0.0,0.0,1.2,61.9,327997.58203125,2589.4099737611105
48223,10459,10459,36005008700,213574,0,Census Tract 87,New York,Bronx County,6150,144,1416,50,26,0,13,47,4454,2.3,23.0,0.8,0.4,0.0,0.2,0.8,72.4,373289.80859375,2801.5376865798803
48224,10459,10459,36005008900,110291,0,Census Tract 89,New York,Bronx County,3200,30,672,0,4,0,0,0,2494,0.9,21.0,0.0,0.1,0.0,0.0,0.0,77.9,192765.80078125,2102.59626956035
48225,10465,10465,36005009000,1024677,1162033,Census Tract 90,New York,Bronx County,3620,181,837,27,54,0,24,45,2452,5.0,23.1,0.7,1.5,0.0,0.7,1.2,67.7,1778745.59375,11670.9095454748
48225,10473,10473,36005009000,1024677,1162033,Census Tract 90,New York,Bronx County,3620,181,837,27,54,0,24,45,2452,5.0,23.1,0.7,1.5,0.0,0.7,1.2,67.7,1778745.59375,11670.9095454748
48226,10462,10462,36005009200,310475,0,Census Tract 92,New York,Bronx County,6091,234,939,0,1088,0,386,302,3142,3.8,15.4,0.0,17.9,0.0,6.3,5.0,51.6,542861.55859375,3696.42321185825
48227,10455,10455,36005009300,2307627,1595761,Census Tract 93,New York,Bronx County,6104,105,2053,12,0,0,0,9,3925,1.7,33.6,0.2,0.0,0.0,0.0,0.1,64.3,4018113.5390625,10812.8062755401
48227,10474,10474,36005009300,2307627,1595761,Census Tract 93,New York,Bronx County,6104,105,2053,12,0,0,0,9,3925,1.7,33.6,0.2,0.0,0.0,0.0,0.1,64.3,4018113.5390625,10812.8062755401
48228,10461,10461,36005009600,703455,15353,Census Tract 96,New York,Bronx County,2683,168,534,0,530,0,43,32,1376,6.3,19.9,0.0,19.8,0.0,1.6,1.2,51.3,1256916.20703125,5046.2527646485105
48228,10462,10462,36005009600,703455,15353,Census Tract 96,New York,Bronx County,2683,168,534,0,530,0,43,32,1376,6.3,19.9,0.0,19.8,0.0,1.6,1.2,51.3,1256916.20703125,5046.2527646485105
48229,10473,10473,36005009800,517450,0,Census Tract 98,New York,Bronx County,4824,149,1082,0,226,0,128,18,3221,3.1,22.4,0.0,4.7,0.0,2.7,0.4,66.8,904578.65234375,4113.522147690979
48230,10465,10465,36005011000,2069297,452399,Census Tract 110,New York,Bronx County,0,0,0,0,0,0,0,0,0,,,,,,,,,3607727.734375,10518.245501281
