infornk,modzcta,perc,physrnk,mindist
23,10001,0.088225644,122,2859.212962559317
176,10002,0.34022678,12,325.5217262431695
18,10003,0.07662358,31,899.5851860045963
6,10004,0.013412178,106,2371.3922584796624
5,10005,0.013202021999999999,83,1942.2713241156714
2,10006,0.0,84,1972.7418215277246
35,10007,0.105386836,58,1310.4003121944506
106,10009,0.174443075,7,274.98976200028915
30,10010,0.096999178,48,1177.1410125456218
13,10011,0.064376485,101,2265.137976449933
45,10012,0.11642318300000001,15,488.36927992467463
92,10013,0.152768976,26,780.2428926600247
12,10014,0.057398652,73,1647.687260735885
28,10016,0.091933561,79,1818.1583872750145
9,10017,0.0501923,117,2686.822618543919
7,10018,0.043443085,133,3141.6970540758284
36,10019,0.10562528300000001,139,3729.625595189651
11,10021,0.055218264,62,1393.929314290037
16,10022,0.068709719,111,2537.3963181580875
14,10023,0.066543563,137,3460.6738721166307
20,10024,0.080235155,103,2309.695858627543
41,10025,0.112628271,59,1318.2418723424514
120,10026,0.186687248,11,321.5046375334266
129,10027,0.19665210600000002,9,300.5633552565085
8,10028,0.046510957,47,1158.0593766056775
157,10029,0.24413422699999998,50,1219.3215912189028
118,10030,0.18479957,16,501.79030717053286
124,10031,0.191958885,68,1483.8598872317805
135,10032,0.203329344,82,1936.9036921726502
109,10033,0.17662407,67,1459.1531740074674
94,10034,0.156899271,23,641.3677670214466
174,10035,0.299390508,13,405.0730520661465
39,10036,0.10739117699999999,138,3483.075985145871
141,10037,0.20912209199999998,3,249.17990159995827
151,10038,0.226656291,54,1289.522105918682
123,10039,0.190397029,69,1489.063639648998
87,10040,0.150312646,21,619.0689157216907
19,10044,0.077016007,45,1141.980266053556
17,10065,0.074077141,81,1872.4720185470526
25,10069,0.08951189,146,4093.672105245205
10,10075,0.053839015,49,1184.8024515489305
21,10128,0.085396582,63,1396.8863457680968
4,10280,0.010937456000000002,100,2230.1141472015133
1,10282,0.0,77,1732.6854453562992
125,10301,0.19238614399999998,78,1809.9494298858847
117,10302,0.18464672199999999,71,1618.5221247035245
145,10303,0.21810822800000002,60,1322.3697378851534
153,10304,0.23635852899999998,89,2067.5627259736593
103,10305,0.171909344,118,2705.669023432411
91,10306,0.152310099,102,2300.121504976192
42,10307,0.115211484,177,12999.224694471144
34,10308,0.10484006900000001,155,4706.195008151528
48,10309,0.118634364,176,10034.029252417746
114,10310,0.182305136,136,3439.5554500203816
32,10312,0.10106248300000001,166,6645.21442550036
51,10314,0.119923364,130,3015.228222265118
169,10451,0.27699734600000003,14,409.7281179705466
163,10452,0.25926102100000004,10,310.4836525780984
164,10453,0.26202828899999997,61,1359.9900814757934
175,10454,0.330786823,18,520.6047108282055
167,10455,0.276181426,27,792.0610237561798
158,10456,0.246283534,51,1230.7833448676174
168,10457,0.276880201,17,511.9009243973427
138,10458,0.20695462899999997,87,2059.8438625067824
170,10459,0.27742763800000003,85,2027.3627537288328
173,10460,0.294443988,52,1255.409248193901
108,10461,0.175122937,33,909.0631196907323
110,10462,0.17786365,75,1694.9337468042106
80,10463,0.14507654,94,2117.2294505191308
102,10464,0.170516129,144,4006.4299572415166
98,10465,0.165630596,141,3915.035432279879
130,10466,0.19813085100000002,92,2086.9388070738496
142,10467,0.21260102399999997,22,630.0253321838563
126,10468,0.193384678,88,2062.579178994281
116,10469,0.183628278,42,1093.2167863912878
113,10470,0.18116946899999997,90,2069.4588030296927
61,10471,0.13025774199999998,120,2720.594813118932
161,10472,0.25734367399999997,115,2638.0417505908035
136,10473,0.205640593,149,4151.6904537445225
172,10474,0.28519839399999997,114,2629.764596881545
143,10475,0.215446263,107,2383.230564385148
31,11004,0.097287888,172,8710.169617584057
71,11101,0.139634929,104,2349.818979982552
54,11102,0.12163499300000001,64,1404.1139097173525
59,11103,0.129682826,38,1052.6538011162995
83,11104,0.148591382,53,1270.2141416078293
62,11105,0.132972451,124,2863.6750415557094
67,11106,0.135977953,57,1307.0566867471284
3,11109,0.01,80,1855.9488696496987
22,11201,0.08814343699999999,24,708.4303788023724
147,11203,0.220681352,43,1101.163037519991
150,11204,0.223496833,127,2938.887084352327
121,11205,0.189458868,32,900.6156122147198
160,11206,0.255369232,8,293.4042684754646
139,11207,0.208103708,2,145.29648426619462
137,11208,0.205912591,91,2084.273380260914
58,11209,0.127414856,145,4058.093514841352
75,11210,0.142410078,121,2825.463314552757
148,11211,0.22255027100000002,25,768.82041697991
165,11212,0.27061802100000004,4,253.51245360895192
154,11213,0.23722840399999998,6,269.0459600559286
100,11214,0.168952369,116,2664.2740649576003
15,11215,0.067192024,135,3278.3984220053276
115,11216,0.18278350000000002,30,867.6610641657065
26,11217,0.08977157599999999,39,1067.1770179402358
131,11218,0.198904175,132,3120.8403614398817
177,11219,0.34200734299999996,154,4690.067146638159
140,11220,0.20873616899999997,162,5708.463055156731
144,11221,0.21656761300000002,29,851.8229268735637
64,11222,0.13417395,19,589.9051014006518
99,11223,0.167168134,66,1446.1471137891033
166,11224,0.271215279,5,254.70480470060653
132,11225,0.20183276600000002,46,1153.6076964383235
149,11226,0.22299447,70,1591.2623094497812
74,11228,0.141455928,159,5023.397827619984
89,11229,0.151883831,36,1032.739138457214
134,11230,0.20301505,97,2170.0556331238795
49,11231,0.119038263,109,2467.368709365298
85,11232,0.149993723,152,4439.0311005817985
155,11233,0.24092916,65,1435.5014770008734
65,11234,0.134443612,140,3859.5646555254652
122,11235,0.190189463,55,1304.944526909162
88,11236,0.151761419,123,2860.8780801255352
119,11237,0.185992223,40,1073.5372354602987
60,11238,0.129888354,86,2040.7305900723447
171,11239,0.278966102,126,2912.7695455621483
159,11354,0.24661115,147,4103.250812878228
162,11355,0.25820005100000004,142,3938.2080199441857
133,11356,0.202525281,150,4266.3595839894015
70,11357,0.139421043,165,6268.301752898812
82,11358,0.1469707,156,4801.754163619451
37,11360,0.106018559,169,7439.8352169182335
29,11361,0.09249215599999999,164,5833.49398599155
73,11362,0.141109598,167,7243.962396134039
56,11363,0.12632317099999998,170,7910.332883744333
24,11364,0.088884164,157,4902.528251269813
79,11365,0.14388061800000002,113,2612.131338048862
40,11366,0.11182363199999999,93,2115.7265855194755
97,11367,0.165446806,99,2203.121963060997
128,11368,0.196405477,76,1715.296379519266
112,11369,0.181059589,72,1635.050424776823
81,11370,0.14614480900000001,119,2717.4865543438973
96,11372,0.16470341,35,1025.113932683049
95,11373,0.15699961099999998,1,128.10012706875395
